Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Marinho (ATA),,"25,77",22,"10,34","0,00","0,00",22,15,6,,100,30,20,1,,,,,4,,,31,18,130
Keno (ATA),,"13,19",24,"6,86","1,00","-0,99",36,10,5,,42,29,24,4,,,,,4,1,,29,22,238
Vina (MEI),,"11,58",21,"6,51","9,70","1,16",11,9,6,,19,28,23,1,,,,,3,1,,16,4,187
Arrascaeta (MEI),,"17,01",17,"6,22","4,10","-2,04",26,5,4,,20,14,13,2,,,,,,,,11,,173
Claudinho (ATA),,"14,15",25,"5,60","4,10","-2,12",41,9,3,,36,24,20,,,,,,4,1,,23,4,236
Brenner (ATA),,"7,14",20,"5,41","4,80","0,88",12,8,1,,31,16,15,1,,,,,4,,,16,5,35
Guilherme Arana (LAT),,"17,31",25,"5,35","9,80","-0,30",43,3,5,9,24,17,16,,,,,,3,,,31,1,265
Cano (ATA),,"13,66",23,"5,34","7,60","0,50",11,11,1,,17,13,16,1,,,,,,,,22,11,54
Raul (MEI),,"8,83",20,"5,33","2,90","-2,19",81,2,2,,50,6,1,,,,,,1,,,34,1,118
Calegari (LAT),,"4,85",12,"5,25","0,00","0,00",52,,,2,31,3,2,,,,,,1,,,14,1,98
Bruno Henrique (ATA),,"12,30",21,"5,16","1,60","-0,15",28,6,4,,55,18,12,3,,,,,8,1,,34,7,123
Patrick (MEI),,"11,93",25,"5,12","2,60","-0,45",62,4,2,,55,13,7,3,,,,,1,,,32,2,123
Pereira (ZAG),,"5,28",5,"5,00","5,70","0,18",6,1,,3,3,1,,,,,,,2,,,3,,8
Reinaldo (LAT),,"13,35",22,"4,83","2,10","-0,38",41,4,4,6,23,8,10,,,,,,3,,,25,,281
Renato Kayzer (ATA),,"8,34",22,"4,71","0,00","0,00",14,9,1,,34,18,15,2,,,,,3,,,41,16,79
Guga (LAT),,"12,82",22,"4,64","2,00","-1,06",53,1,1,9,27,6,2,1,,,,,1,,,26,,176
Fernando Sobral (MEI),,"13,08",26,"4,61","7,00","0,01",93,1,3,,41,17,10,1,,,,,2,,,45,6,157
Hyoran (MEI),,"12,65",18,"4,57","11,20","-0,77",20,5,2,,24,12,10,2,,,,,2,,,24,2,103
Jean (GOL),,"9,89",26,"4,56","5,10","-1,75",1,2,,7,8,1,1,,34,1,,,1,,29,1,,220
Everton Ribeiro (MEI),,"8,70",23,"4,48","2,20","-0,85",34,6,2,,48,16,8,1,,,,,4,,,23,1,183
Jorge Sampaoli (TEC),,"13,78",25,"4,48","4,13","-0,95",,,,,,,,,,,,,,,,,,
Léo Chú (ATA),,"4,54",12,"4,47","10,10","1,60",25,1,5,,12,7,2,,,,,,2,,,10,7,58
Tadeu (GOL),,"8,99",22,"4,46","1,40","0,07",1,,,7,9,,1,,34,1,,,,,32,1,,221
Gustavo Morínigo (TEC),,"7,27",1,"4,45","4,45","0,46",,,,,,,,,,,,,,,,,,
Felipe Jonatan (LAT),,"11,93",25,"4,28","0,00","0,00",82,2,1,4,28,15,4,,,,,,6,,,27,1,205
Glauber Ramos (TEC),,"5,62",7,"4,24","2,21","-0,03",,,,,,,,,,,,,,,,,,
Werley (ZAG),,"4,15",4,"4,05","4,70","0,01",3,,,3,2,1,,,,,,,,,,4,,16
Moisés (LAT),,"10,62",18,"3,96","5,40","-0,62",42,,2,9,8,6,2,1,,,,,1,,,38,2,177
Sabino (ZAG),,"8,86",27,"3,95","6,80","0,17",52,4,,7,26,5,,1,,,1,,2,1,,10,2,134
Vargas (ATA),,"9,04",5,"3,92","4,00","0,04",3,1,1,,6,4,2,1,,,,,1,,,2,5,25
Talles Magno (ATA),,"11,77",22,"3,90","14,60","2,29",33,3,2,,54,14,6,2,,,,1,3,,,20,4,94
Carlos Eduardo (ATA),,"5,75",21,"3,89","0,10","-0,94",18,5,3,,27,8,4,,,,,,,,,18,2,59
Guto Ferreira (TEC),,"10,03",28,"3,85","8,33","1,18",,,,,,,,,,,,,,,,,,
Pedro Raul (ATA),,"6,50",20,"3,75","0,30","-1,24",8,5,1,,24,21,19,,,,,,1,,,31,4,101
