Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Vanderlei Luxemburgo (TEC),,"10,84",16,"3,73","9,01","0,61",,,,,,,,,,,,,,,,,,
Abel Braga (TEC),,"11,06",9,"3,73","6,01","0,01",,,,,,,,,,,,,,,,,,
Victor Luis (LAT),,"9,34",20,"3,72","2,00","-0,15",55,2,1,3,20,4,6,,,,,1,1,1,,18,,168
Yuri Alberto (ATA),,"4,98",14,"3,72","0,00","0,00",6,6,,,11,6,8,,,,,,3,,,23,3,27
Filipe Luís (LAT),,"6,18",20,"3,70","-0,20","-0,36",61,2,2,4,22,1,2,1,,,1,,5,,,32,1,186
Fernando Diniz (TEC),,"9,19",24,"3,66","1,78","-0,22",,,,,,,,,,,,,,,,,,
Cuca (TEC),,"11,13",28,"3,65","5,41","0,00",,,,,,,,,,,,,,,,,,
Artur (ATA),,"13,22",24,"3,64","0,00","0,00",31,1,4,,48,28,14,2,,,,,2,1,,18,5,214
Bruno Pacheco (LAT),,"8,54",23,"3,61","4,00","0,66",58,,2,8,27,3,,,,,,1,2,,,29,,176
Savarino (ATA),,"7,33",20,"3,58","9,20","1,54",8,4,4,,21,18,6,3,,,,,2,,,17,7,136
Tiago Volpi (GOL),,"12,34",24,"3,55","1,60","-0,44",1,,1,6,4,,,,24,3,,,1,,26,,,156
Isla (LAT),,"9,01",19,"3,54","4,40","0,10",42,1,5,4,12,2,,,,,,,4,,,23,6,129
Jonathan (LAT),,"9,38",10,"3,49","0,00","0,00",9,,1,6,4,,,,,,,,2,,,4,,52
Rogério Ceni (TEC),,"7,66",26,"3,46","1,82","-0,36",,,,,,,,,,,,,,,,,,
Júnior Alonso (ZAG),,"10,01",20,"3,46","2,20","-1,47",39,,2,8,2,11,4,1,,,,,5,,,29,,130
Yago Pikachu (LAT),,"9,18",17,"3,45","12,50","0,68",23,1,,6,26,5,4,1,,,,,4,,,16,3,98
Samuel Xavier (LAT),,"6,12",21,"3,44","0,00","0,00",41,1,3,7,31,5,3,,,,,1,5,,,28,1,204
Raul Prata (LAT),,"4,38",7,"3,44","-0,40","-0,95",9,,,4,2,,1,,,,,,1,,,4,,31
Paulo Autuori (TEC),,"8,70",23,"3,42","4,08","-0,41",,,,,,,,,,,,,,,,,,
David Duarte (ZAG),,"4,90",18,"3,41","4,00","0,54",33,1,,6,5,7,4,1,,,,1,1,,,16,,106
Maurício Barbieri (TEC),,"7,62",21,"3,39","2,95","-0,66",,,,,,,,,,,,,,,,,,
Fábio Sanches (ZAG),,"6,11",19,"3,38","1,00","-1,32",32,1,,7,16,3,1,,,,1,,3,,,15,,40
Ytalo (ATA),,"6,09",21,"3,38","1,40","-1,38",17,2,4,,14,12,11,1,,,,,,,,17,5,37
Abner Vinícius (LAT),,"9,88",24,"3,37","6,40","0,25",40,1,2,10,11,8,5,,,,,,3,,,32,1,224
Pedro Henrique (ZAG),,"6,04",19,"3,37","6,40","0,32",29,,,8,12,3,1,,,,,,1,,,11,,72
Cléber (ATA),,"10,52",26,"3,35","1,00","-0,05",31,6,1,,27,19,12,1,,,,,1,,,58,9,79
Júnior Tavares (LAT),,"4,71",12,"3,34","-1,30","-1,43",16,,,4,21,5,2,,,,,,,,,10,1,73
Michel Araújo (MEI),,"7,30",20,"3,32","0,00","0,00",33,1,,,60,16,8,2,,,,,5,,,28,1,85
Marcelo Cabo (TEC),,"8,60",8,"3,32","2,61","-0,48",,,,,,,,,,,,,,,,,,
Matheus Babi (ATA),,"7,29",24,"3,31","0,00","0,00",27,6,1,,58,10,8,2,,,,,6,,,55,9,91
Thiago Heleno (ZAG),,"6,77",20,"3,27","6,00","-0,12",21,1,1,9,20,10,2,,,,1,1,3,,,16,,100
Réver (ZAG),,"7,44",18,"3,22","1,60","-1,10",25,1,1,6,14,5,1,,,,,,3,,,15,,85
Edenílson (MEI),,"9,50",24,"3,22","0,00","0,00",42,3,5,,30,12,7,1,,,,,6,,,37,3,176
Shaylon (MEI),,"3,72",13,"3,22","2,20","0,23",20,1,2,,10,9,3,,,,,,,,,4,,98
Lucas Ribeiro (ZAG),,"4,03",4,"3,12","5,00","0,17",2,,,2,2,2,1,,,,,,1,,,1,,8
Tiago (ZAG),,"7,33",20,"3,10","9,00","1,01",37,1,,7,16,4,1,,,,,,6,,,16,2,93
Everson (GOL),,"8,38",16,"3,09","-0,40","-2,36",1,,1,5,2,,,,16,,,,,,20,,,67
Fernando Miguel (GOL),,"9,33",24,"3,08","7,80","-0,03",,,,8,5,,,,25,2,,,,,32,,,186
Léo Ortiz (ZAG),,"7,99",27,"3,08","1,70","-0,86",48,3,,5,11,7,2,1,,,1,,3,,,15,,119
Marquinhos (ATA),,"6,94",25,"3,08","3,80","-0,43",39,3,1,,84,9,2,,,,,,7,,,33,,122
Caio (ATA),,"3,28",6,"3,07","2,30","-1,41",6,1,,,26,1,2,,,,,,2,,,10,,28
Arboleda (ZAG),,"8,45",10,"3,06","2,10","-0,08",9,1,,3,8,3,5,,,,,,2,,,13,,32
Jefferson (LAT),,"5,79",16,"3,05","3,70","0,78",32,1,,6,14,6,,,,,1,1,1,,,14,2,130
Leandro Castan (ZAG),,"12,41",19,"3,01","4,90","-0,68",39,,,6,18,1,1,,,,,,2,,,22,,80
Luccas Claro (ZAG),,"7,25",20,"2,97","0,00","0,00",30,2,,4,13,4,1,,,,,,,,,11,3,107
Patric (LAT),,"8,17",27,"2,95","0,80","-0,70",41,1,5,5,32,15,4,1,,,,1,2,,,35,7,248
Gabriel Sara (MEI),,"5,12",23,"2,95","5,60","0,80",29,4,1,,28,23,7,,,,,,5,,,25,4,146
Rodrigo Caio (ZAG),,"8,35",15,"2,94","3,60","0,21",25,,,4,10,5,2,,,,,,1,,,14,,34
Neilton (ATA),,"5,62",17,"2,94","0,80","0,00",24,1,2,,24,7,5,1,,,,,1,,,19,1,68
Vladimir (GOL),,"6,43",3,"2,93","0,00","0,00",,,,,,,,,4,,,,,,3,,,12
Fernandão (ATA),,"5,09",12,"2,91","2,90","-1,09",7,3,,,13,11,5,,,,,,2,,,12,5,49
Jonathan (LAT),,"4,61",17,"2,91","0,00","0,00",36,,,4,9,3,1,1,,,,,2,,,10,1,82
Jair Ventura (TEC),,"6,72",23,"2,91","0,57","-0,85",,,,,,,,,,,,,,,,,,
Bruno Alves (ZAG),,"7,77",16,"2,89","0,00","0,00",22,,,5,26,5,,,,,,,2,,,20,,38
Bruno Nazário (MEI),,"7,44",19,"2,88","5,60","0,26",29,1,2,,29,12,11,1,,,,,3,,,24,,146
Marcão (TEC),,"8,65",3,"2,85","0,00","0,00",,,,,,,,,,,,,,,,,,
Romarinho (ATA),,"8,39",24,"2,82","3,40","0,36",20,2,,,52,13,9,1,,,,,2,,,11,2,80
Gabriel Dias (LAT),,"7,40",22,"2,82","5,30","0,53",15,1,1,8,19,5,4,,,,,1,1,,,17,3,74
Santos (GOL),,"7,30",22,"2,81","8,60","-0,36",1,,,8,1,,,,15,3,,,,,21,1,,183
Jair (MEI),,"6,89",19,"2,80","0,50","-0,40",45,1,2,,41,7,1,,,,,,5,,,41,,68
Juanfran (LAT),,"6,27",12,"2,77","3,30","0,32",20,,1,3,6,2,2,,,,,,2,,,8,,58
Douglas Baggio (ATA),,"4,91",16,"2,77","4,60","0,54",24,,1,,28,5,7,1,,,,,,,,15,1,61
Natanael (LAT),,"4,46",11,"2,75","5,60","-0,29",16,,1,3,11,4,1,,,,,,1,,,9,2,82
Soteldo (ATA),,"6,37",18,"2,73","0,00","0,00",8,3,3,,34,13,7,,,,,,6,,,13,3,138
Caio Alexandre (MEI),,"5,91",24,"2,71","0,00","0,00",40,4,,,38,15,5,,,,,,6,,,36,3,126
Aderlan (LAT),,"9,45",25,"2,71","0,00","0,00",73,,1,5,24,11,3,,,,,,3,,,53,3,254
Matheus Ferraz (ZAG),,"4,72",7,"2,70","0,00","0,00",8,,1,2,3,3,1,,,,,,2,,,7,,17
Luiz Otávio (ZAG),,"6,12",21,"2,69","9,80","1,38",43,1,,7,4,2,1,1,,,,1,7,,,25,,60
Carlinhos (LAT),,"6,56",18,"2,68","4,30","0,63",25,,,8,21,3,,,,,,,2,,,27,2,113
Juninho (MEI),,"3,60",21,"2,68","0,00","0,00",39,2,3,,29,18,4,,,,,1,5,,,31,,172
Henrique (LAT),,"8,26",19,"2,67","13,50","1,40",46,,1,6,19,,2,,,,,,6,,,35,3,110
Enderson Moreira (TEC),,"5,67",9,"2,62","3,55","-0,06",,,,,,,,,,,,,,,,,,
Diego Pituca (MEI),,"7,29",25,"2,61","-0,10","-1,17",55,1,1,,43,8,5,,,,,,4,,,33,2,113
Léo Gil (MEI),,"5,27",10,"2,59","1,30","-0,12",14,,3,,19,5,3,,,,,,3,,,13,,77
Wanderson (ZAG),,"3,90",3,"2,53","5,20","0,67",3,,,1,2,,,,,,,,,,,1,,9
David (ATA),,"4,71",22,"2,53","0,00","0,00",20,5,2,,24,14,5,,,,,,4,,,45,9,83
Víctor Cuesta (ZAG),,"10,64",27,"2,52","5,70","0,52",44,,,12,25,2,2,,,,,,8,,,35,,186
Yago Felipe (MEI),,"5,24",19,"2,52","0,00","0,00",37,2,,,26,7,4,,,,,,4,,,26,2,65
Wellington Paulista (ATA),,"6,89",23,"2,50","-0,90","-0,31",6,5,1,,23,10,5,1,,,,,1,,,25,5,52
Lima (MEI),,"5,13",22,"2,50","-0,10","-0,23",32,3,1,,32,4,5,,,,,,5,,,25,4,68
Wilson (GOL),,"8,51",28,"2,48","4,60","0,74",1,,,7,2,,,,31,1,,,,,38,,,228
Lucca (ATA),,"4,47",7,"2,47","0,00","0,00",8,1,,,9,,2,,,,,,,,,6,2,16
Alex (ZAG),,"2,93",9,"2,45","4,80","0,14",11,,,3,7,,2,,,,,,2,,,6,,28
José Welison (MEI),,"3,96",10,"2,44","2,80","-0,14",22,,1,,8,4,,,,,,,,,,13,,33
Wellington Rato (MEI),,"3,05",9,"2,42","4,80","0,36",9,,1,,6,3,6,1,,,,,,,,7,1,38
Léo Matos (LAT),,"5,76",9,"2,41","0,00","0,00",11,1,1,3,6,4,4,,,,,,5,,,18,1,88
Felipe (MEI),,"5,23",23,"2,40","1,90","0,20",65,1,,,43,8,2,,,,,1,7,,,38,,100
Richard (GOL),,"4,76",6,"2,37","9,70","2,28",,,,3,4,,,,4,,,,1,,5,,,68
Kanu (ZAG),,"5,37",25,"2,34","2,40","0,36",39,,1,4,27,5,3,,,,,,4,,,22,,74
Rodinei (LAT),,"5,89",15,"2,34","10,10","1,01",26,,1,4,19,1,2,,,,,,3,,,22,,115
Ricardo Ryller (MEI),,"5,43",22,"2,34","8,30","1,03",53,2,1,,25,14,3,,,,,,8,,,53,,73
Fred (ATA),,"3,39",15,"2,34","0,00","0,00",4,3,2,,27,2,4,,,,,,3,,,20,2,57
Osvaldo (ATA),,"5,69",24,"2,33","0,20","-0,29",24,1,3,,18,13,7,1,,,,,2,,,11,3,112
Iago Maidana (ZAG),,"6,74",25,"2,28","0,00","0,00",35,3,,5,15,7,2,,,,,,6,,,28,,161
Zé Roberto (ATA),,"4,98",15,"2,24","3,10","0,86",7,2,1,,41,10,9,,,,,,3,,,34,7,71
Dudu (LAT),,"4,33",24,"2,20","-0,10","0,84",57,,,5,27,7,2,,,,1,1,3,,,27,3,198
Helinho (ATA),,"4,20",6,"2,18","7,40","1,00",9,,2,,4,,2,,,,,,2,,,9,,18
Fabinho (MEI),,"3,82",23,"2,12","-0,40","-0,55",52,,,,13,6,3,,,,,,3,,,10,,71
Juninho (MEI),,"3,37",10,"2,12","4,00","0,06",14,,1,,8,5,2,,,,,,1,,,6,,33
Tchê Tchê (MEI),,"7,77",20,"2,10","0,00","0,00",23,2,,,22,9,6,,,,,1,2,,,14,,63
Franco (MEI),,"4,67",19,"2,10","0,50","-0,55",23,3,,,15,5,4,,,,,,1,,,29,1,63
Edimar (LAT),,"5,47",22,"2,02","10,40","1,72",39,1,,4,12,15,3,,,,,,4,,,30,1,207
Diego (MEI),,"5,23",17,"2,00","1,60","0,09",16,1,2,,34,4,2,,,,,,4,,,18,,54
Marcelo Benevenuto (ZAG),,"5,68",22,"1,99","0,00","0,00",32,,1,4,15,10,1,,,,,,6,,,21,1,70
Paulão (ZAG),,"3,66",22,"1,97","4,20","0,59",23,,,8,9,3,2,,,,,,3,,,26,3,85
Felipe Alves (GOL),,"4,92",24,"1,95","8,50","1,77",2,,,8,4,,,,17,1,,,,,23,,,260
Eduardo Barroca (TEC),,"4,08",10,"1,94","2,19","0,13",,,,,,,,,,,,,,,,,,
Nikão (MEI),,"8,44",17,"1,93","0,00","0,00",12,1,2,,27,12,8,2,,,,,3,1,,22,8,108
Luiz Henrique (ATA),,"2,47",17,"1,90","0,00","0,00",17,1,1,,5,9,2,,,,,,,,,9,3,36
Breno (MEI),,"4,02",20,"1,84","0,60","-0,13",59,,,,22,5,2,1,,,,1,5,,,43,,60
Rodrigo Dourado (MEI),,"4,78",11,"1,83","1,40","0,12",15,1,,,10,2,,1,,,,,2,,,12,,26
Dalberto (ATA),,"3,42",6,"1,82","2,30","0,62",1,1,,,4,3,6,1,,,,,,,,15,6,22
Richard (MEI),,"3,52",20,"1,81","6,90","0,70",43,,1,,22,5,1,,,,,,4,,,26,,72
Marlon Freitas (MEI),,"4,70",20,"1,80","0,00","0,00",34,,1,,16,13,9,1,,,,1,3,,,24,,120
Rafael Moura (ATA),,"5,23",19,"1,75","-1,20","-1,21",8,6,,,17,15,6,,,,,,6,,,37,17,115
Luan Polli (GOL),,"4,72",21,"1,70","1,50","-0,40",,,,6,2,,,,22,,,,3,,27,,,234
Kaio Jorge (ATA),,"4,16",23,"1,61","0,90","-0,13",14,2,1,,32,13,2,1,,,,,4,,,32,2,50
Daniel Alves (MEI),,"10,14",18,"1,61","1,40","-0,06",33,1,2,,33,18,4,,,,,,7,,,41,2,222
Kelvin (ATA),,"3,31",4,"1,60","3,20","-0,02",4,,,,8,2,1,,,,,,,,,4,1,19
Marcão Silva (MEI),,"3,55",17,"1,55","-3,00","-0,63",37,1,,,14,5,,,,,,,5,,,35,,21
Sarrafiore (MEI),,"2,69",9,"1,40","2,50","-0,01",8,,,,6,9,2,,,,,,1,,,6,,30
Kevin (LAT),,"3,49",21,"1,40","4,40","0,87",50,,1,2,19,1,3,,,,1,,2,,,24,2,278
Martinelli (MEI),,"0,90",3,"1,40","0,00","0,00",7,,,,3,,1,,,,,,1,,,5,,10
Fabrício Bruno (ZAG),,"1,01",8,"1,36","-0,80","-1,78",16,1,,,3,1,,,,,,1,2,,,8,,24
Marcos Felipe (GOL),,"1,91",8,"1,35","0,00","0,00",,,1,1,1,,,,7,,,,,,10,,,77
Adryelson (ZAG),,"3,33",26,"1,33","-0,20","-1,23",29,,,6,18,8,2,1,,,1,,6,,,36,1,96
Betinho (MEI),,"3,77",16,"1,31","-1,30","-0,34",36,,1,,15,4,,,,,,,4,,,30,,77
Hugo Moura (MEI),,"2,79",19,"1,25","1,40","-0,42",38,,,,22,5,1,,,,,,4,,,33,,59
Marcelo Lomba (GOL),,"10,10",28,"1,24","11,70","0,66",1,,,12,3,,,,15,,,,3,,25,,,317
Igor Gomes (MEI),,"3,85",24,"1,18","2,90","0,46",16,1,1,,26,6,9,,,,,,2,,,28,2,105
Willian Arão (MEI),,"7,32",23,"1,17","3,70","0,53",44,,,,10,9,2,,,,,,4,,,31,,81
Guilherme Biro (ATA),,"1,98",3,"1,10","4,40","0,69",7,,,,1,1,,,,,,,1,,,4,,10
Éder (ZAG),,"3,67",23,"1,06","2,20","-0,47",18,,,6,11,2,2,,,,,,4,,,31,1,87
Nathan Silva (MEI),,"2,54",11,"1,05","3,40","-0,45",17,1,1,,10,7,,,,,,,6,,,26,,39
Bruno Gomes (MEI),,"3,42",13,"1,03","5,30","0,27",25,,,,27,2,1,,,,,2,2,,,18,,49
Ariel Cabral (MEI),,"4,37",11,"0,99","1,70","0,20",26,,,,7,,2,,,,,,3,,,17,,65
Sandry (MEI),,"2,07",10,"0,98","3,10","0,60",25,,,,7,,,,,,,,4,,,15,,33
Praxedes (MEI),,"2,74",13,"0,94","12,30","1,96",20,1,,,8,5,,,,,,,3,,,20,1,73
Luan (MEI),,"3,18",16,"0,85","0,10","0,38",29,,,,9,2,2,,,,,,5,,,22,,30
Pablo Thomaz (ATA),,"1,13",9,"0,72","1,60","0,28",3,,,,5,1,2,,,,,,,,,2,,12
Ricardo Oliveira (ATA),,"5,77",9,"0,67","1,70","-0,13",3,,,,4,2,4,1,,,,,1,,,9,1,14
Diego Cavalieri (GOL),,"5,02",17,"0,65","2,00","0,71",1,,,1,1,,,,17,1,,,2,,28,1,,99
Ronaldo Henrique (MEI),,"2,52",15,"0,49","0,00","0,00",18,,,,12,4,,,,,,,3,,,19,,44
Danilo Barcelos (LAT),,"3,32",16,"0,43","0,00","0,00",25,1,2,3,4,4,3,,,,,1,5,,,42,2,228
Heron (ZAG),,"0,77",15,"0,35","-2,20","-0,23",12,,,2,7,1,,,,,,,4,,,15,,55
Fernando Canesin (MEI),,"0,98",9,"-0,29","-0,30","-0,04",4,,,,2,1,,,,,,,2,,,5,,19
Cleiton (GOL),,"0,77",22,"-0,45","-0,40","-0,01",1,,,4,3,,,,9,,,,,,26,,,164
