,Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
67,Eduardo Sasha (ATA),,7.79,26,3.4,-0.2,-0.41,12.0,6.0,3.0,,23.0,10.0,11.0,1.0,,,,,1.0,1.0,,17.0,2.0,71.0
68,Otero (MEI),,10.57,15,3.39,3.2,0.66,21.0,1.0,1.0,,42.0,16.0,11.0,3.0,,,,1.0,6.0,,,23.0,2.0,97.0
69,Savarino (ATA),,6.26,25,3.39,0.4,-0.06,12.0,4.0,5.0,,22.0,21.0,8.0,4.0,,,,,2.0,,,18.0,10.0,160.0
70,Paulo Autuori (TEC),,9.04,28,3.38,4.27,-0.21,,,,,,,,,,,,,,,,,,
71,Luccas Claro (ZAG),,7.61,25,3.37,7.8,0.43,38.0,2.0,,8.0,14.0,6.0,1.0,,,,,,,,,17.0,3.0,128.0
72,Victor Luis (LAT),,9.06,23,3.37,0.0,0.0,60.0,2.0,1.0,3.0,22.0,4.0,6.0,,,,,1.0,1.0,1.0,,19.0,,193.0
73,Léo Ortiz (ZAG),,9.65,32,3.33,9.5,1.06,65.0,3.0,,7.0,14.0,8.0,3.0,1.0,,,1.0,,5.0,,,17.0,,142.0
74,Churín (ATA),,9.08,10,3.33,0.0,0.0,9.0,2.0,1.0,,15.0,4.0,,1.0,,,,,,,,13.0,2.0,29.0
75,Dado Cavalcanti (TEC),,8.11,7,3.3,2.99,-0.08,,,,,,,,,,,,,,,,,,
76,Thiago Heleno (ZAG),,6.86,25,3.24,4.5,-0.22,30.0,1.0,1.0,11.0,23.0,12.0,2.0,,,,1.0,1.0,4.0,,,19.0,,129.0
77,Gil (ZAG),,6.09,22,3.21,1.2,-0.48,36.0,1.0,1.0,7.0,14.0,2.0,1.0,1.0,,,1.0,,2.0,,,16.0,1.0,87.0
78,Juninho Capixaba (LAT),,7.37,19,3.21,1.2,-0.51,44.0,,2.0,4.0,24.0,6.0,4.0,,,,,,3.0,,,23.0,1.0,167.0
79,Soteldo (ATA),,6.84,20,3.2,0.0,0.0,11.0,4.0,4.0,,41.0,14.0,9.0,,,,,,8.0,,,15.0,4.0,162.0
80,Aderlan (LAT),,10.36,29,3.18,9.4,0.1,93.0,,1.0,7.0,27.0,11.0,5.0,,,,,,4.0,,,60.0,3.0,295.0
81,Samuel Xavier (LAT),,6.52,26,3.1,2.2,-0.02,48.0,1.0,3.0,8.0,38.0,5.0,3.0,,,,,1.0,5.0,,,34.0,2.0,238.0
82,Kannemann (ZAG),,9.05,13,3.03,-0.6,-0.71,32.0,,,5.0,19.0,3.0,3.0,,,,,1.0,5.0,,,27.0,,47.0
83,Fernandão (ATA),,5.34,17,3.02,2.3,-0.14,15.0,4.0,,,21.0,15.0,5.0,,,,,,3.0,,,16.0,6.0,70.0
84,Caio (ATA),,3.61,10,3.01,0.0,-0.34,6.0,2.0,,,33.0,2.0,3.0,1.0,,,,,3.0,,,14.0,,36.0
85,Júnior Tavares (LAT),,5.63,15,2.98,0.0,0.0,21.0,,,5.0,25.0,6.0,3.0,,,,,1.0,,,,16.0,1.0,88.0
86,Gustavo Mosquito (ATA),,4.15,18,2.98,4.6,0.46,12.0,3.0,2.0,,20.0,7.0,4.0,,,,,,,,,12.0,2.0,59.0
87,Réver (ZAG),,7.28,22,2.97,-0.1,-1.03,28.0,1.0,1.0,7.0,17.0,5.0,1.0,,,,,,3.0,,,15.0,1.0,100.0
88,Janderson (ATA),,5.77,28,2.96,1.5,-0.67,27.0,3.0,5.0,,31.0,18.0,8.0,,,,,,1.0,,,23.0,3.0,178.0
89,Araos (MEI),,6.53,9,2.96,3.0,0.18,7.0,1.0,2.0,,13.0,6.0,3.0,,,,,,2.0,,,11.0,,38.0
90,Cléber (ATA),,10.47,31,2.93,0.8,-0.09,34.0,6.0,1.0,,39.0,23.0,13.0,1.0,,,,,1.0,,,71.0,12.0,97.0
91,Ricardo (ZAG),,7.34,16,2.92,4.8,-0.14,26.0,,,5.0,7.0,5.0,1.0,,,,,,2.0,,,10.0,,41.0
92,Marquinhos (ATA),,6.38,28,2.91,0.0,0.0,43.0,3.0,1.0,,91.0,10.0,3.0,,,,,,8.0,,,37.0,,131.0
93,Wellington Paulista (ATA),,8.45,28,2.87,6.2,1.0,6.0,8.0,1.0,,29.0,14.0,6.0,1.0,,,,,1.0,1.0,,31.0,6.0,61.0
94,Jefferson (LAT),,6.62,20,2.86,8.1,0.99,39.0,1.0,,7.0,16.0,7.0,,,,,1.0,1.0,1.0,,,18.0,2.0,166.0
95,Víctor Cuesta (ZAG),,11.05,32,2.84,5.4,0.68,48.0,1.0,1.0,13.0,26.0,3.0,2.0,1.0,,,,,8.0,,,36.0,,216.0
96,Gabriel Dias (LAT),,7.08,27,2.83,1.4,-0.17,24.0,1.0,1.0,9.0,26.0,7.0,5.0,,,,,1.0,1.0,,,23.0,3.0,106.0
97,Jair Ventura (TEC),,7.08,27,2.81,0.0,0.0,,,,,,,,,,,,,,,,,,
98,Lucca (ATA),,5.36,12,2.74,4.5,0.56,14.0,2.0,,,17.0,5.0,3.0,,,,,,,,,14.0,2.0,52.0
99,Arboleda (ZAG),,8.68,13,2.73,0.0,0.0,16.0,1.0,,3.0,10.0,4.0,6.0,,,,,,3.0,,,17.0,,43.0
100,Leandro Castan (ZAG),,12.07,23,2.73,0.0,0.0,46.0,,,7.0,20.0,1.0,1.0,,,,,1.0,2.0,,,25.0,,89.0
101,Yago Felipe (MEI),,5.12,23,2.71,5.5,0.11,53.0,2.0,,,35.0,8.0,6.0,,,,,,6.0,,,33.0,2.0,83.0
102,Gabriel (MEI),,5.17,20,2.7,2.9,-0.35,66.0,,1.0,,23.0,3.0,1.0,1.0,,,,,5.0,,,30.0,,100.0
103,Gabriel Sara (MEI),,4.67,26,2.7,0.0,0.0,31.0,4.0,1.0,,29.0,26.0,8.0,,,,,,5.0,,,28.0,5.0,163.0
104,Fabinho (MEI),,6.74,28,2.69,14.9,1.73,66.0,1.0,,,21.0,8.0,3.0,1.0,,,,,3.0,,,15.0,,84.0
105,Shaylon (MEI),,3.74,18,2.66,1.6,0.19,25.0,1.0,3.0,,11.0,10.0,4.0,,,,,,,,,7.0,,148.0
106,David (ATA),,6.28,27,2.65,10.1,1.8,26.0,6.0,2.0,,28.0,18.0,8.0,,,,,,4.0,,,49.0,14.0,107.0
107,Ligger (ZAG),,6.06,24,2.65,11.7,1.68,39.0,,1.0,7.0,11.0,6.0,2.0,,,,,,3.0,,,32.0,,60.0
108,Thiago Neves (MEI),,5.32,24,2.64,0.0,0.0,9.0,5.0,2.0,,15.0,14.0,11.0,,,,,,3.0,,,10.0,1.0,163.0
109,Iago Maidana (ZAG),,6.37,29,2.64,0.0,0.0,43.0,4.0,1.0,6.0,16.0,8.0,2.0,,,,,,7.0,,,35.0,,182.0
110,Luiz Henrique (ATA),,4.51,22,2.64,10.4,1.37,32.0,2.0,2.0,,11.0,11.0,2.0,,,,,,1.0,,,15.0,3.0,52.0
111,Wellington Rato (MEI),,3.23,14,2.64,2.5,0.3,14.0,,2.0,,16.0,10.0,10.0,1.0,,,,,2.0,,,13.0,1.0,71.0
112,Zé Roberto (ATA),,5.14,19,2.61,0.0,0.0,11.0,3.0,2.0,,47.0,13.0,10.0,,,,,,5.0,,,38.0,7.0,87.0
113,Luan Peres (ZAG),,7.0,25,2.6,6.7,1.0,42.0,,2.0,5.0,23.0,4.0,2.0,,,,,1.0,3.0,,,11.0,,127.0
114,João Victor (ZAG),,4.17,23,2.6,4.8,0.87,41.0,,2.0,6.0,27.0,1.0,1.0,,,,,,8.0,,,25.0,,81.0
115,Patric (LAT),,8.1,31,2.6,0.0,0.0,44.0,1.0,5.0,6.0,37.0,15.0,6.0,1.0,,,1.0,1.0,2.0,,,38.0,9.0,293.0
116,Lucas Ribeiro (ZAG),,4.37,9,2.6,5.7,0.73,13.0,,,3.0,4.0,2.0,1.0,,,,,,1.0,,,8.0,,34.0
117,Jonathan (LAT),,8.85,14,2.58,3.5,0.82,10.0,,1.0,7.0,8.0,,,,,,,,3.0,,,7.0,1.0,80.0
118,José Welison (MEI),,4.29,13,2.57,0.0,0.0,32.0,,1.0,,11.0,6.0,,,,,,,,,,18.0,,49.0
119,Marcos Felipe (GOL),,4.15,13,2.55,16.3,2.26,,,1.0,5.0,1.0,,,,10.0,,,,,,13.0,,,114.0
120,Fernando Miguel (GOL),,7.96,29,2.52,-0.6,-1.47,,,,9.0,5.0,,,,29.0,2.0,,,,,41.0,,,222.0
121,Rodrigo Dourado (MEI),,4.97,15,2.5,0.0,0.0,27.0,2.0,,,15.0,2.0,,1.0,,,,,3.0,,,16.0,,38.0
122,Gustavo Henrique (ZAG),,6.18,19,2.49,5.9,-0.14,19.0,2.0,,7.0,8.0,8.0,2.0,,,,1.0,1.0,4.0,,,24.0,,53.0
123,Ronaldo (MEI),,4.12,18,2.47,4.1,-0.02,55.0,,1.0,,17.0,5.0,2.0,,,,,,4.0,,,33.0,,59.0
124,Juninho (MEI),,3.98,25,2.46,0.0,1.11,52.0,3.0,3.0,,36.0,18.0,4.0,,,,,2.0,5.0,1.0,,44.0,,210.0
125,Bruno Alves (ZAG),,7.37,20,2.45,0.0,0.0,27.0,,,5.0,32.0,7.0,,,,,,,3.0,,,27.0,,51.0
126,Santos (GOL),,6.72,27,2.44,4.4,0.05,1.0,,,10.0,1.0,,,,16.0,3.0,,,,,24.0,1.0,,224.0
127,Enderson Moreira (TEC),,5.78,14,2.41,2.69,0.34,,,,,,,,,,,,,,,,,,
128,Richard (GOL),,4.73,11,2.35,7.7,1.96,,,,4.0,4.0,,,,10.0,,,,1.0,,12.0,,,102.0
129,Fred (ATA),,3.75,19,2.32,1.5,-0.57,5.0,4.0,2.0,,36.0,6.0,7.0,,,,,,5.0,,,27.0,5.0,80.0
130,Juanfran (LAT),,5.9,16,2.31,0.0,0.0,25.0,,1.0,3.0,10.0,2.0,3.0,,,,,,2.0,,,11.0,,87.0
131,Henrique (LAT),,6.57,23,2.27,2.5,-0.23,51.0,,1.0,7.0,22.0,1.0,2.0,,,,,1.0,6.0,,,43.0,3.0,128.0
132,Rodinei (LAT),,5.96,20,2.26,9.1,1.65,33.0,,1.0,5.0,23.0,1.0,3.0,1.0,,,,,4.0,,,28.0,,147.0
133,Caio Alexandre (MEI),,5.69,27,2.22,0.0,0.0,43.0,4.0,,,44.0,15.0,5.0,,,,,,7.0,,,49.0,3.0,152.0
134,Bruno Melo (LAT),,4.05,17,2.22,-0.3,-0.89,15.0,2.0,,5.0,11.0,3.0,2.0,,,,,,4.0,,,24.0,2.0,74.0
135,Felipe (MEI),,5.0,27,2.2,0.0,-0.14,73.0,1.0,,,49.0,8.0,2.0,,,,,1.0,9.0,,,41.0,,115.0
136,Kanu (ZAG),,5.53,28,2.2,0.0,0.0,44.0,,1.0,4.0,29.0,5.0,3.0,,,,,,4.0,,,26.0,,81.0
137,Edimar (LAT),,5.25,27,2.19,6.8,0.93,47.0,1.0,,6.0,14.0,17.0,6.0,,,,,,5.0,,,38.0,1.0,244.0
138,Dudu (LAT),,4.68,29,2.17,0.9,0.02,62.0,,1.0,6.0,30.0,7.0,2.0,,,,1.0,1.0,3.0,,,30.0,3.0,244.0
139,Lucas Silva (MEI),,6.87,27,2.17,10.6,1.01,37.0,1.0,1.0,,36.0,13.0,7.0,1.0,,,,,5.0,,,22.0,,97.0
140,Léo Gil (MEI),,5.16,15,2.11,0.2,-0.32,21.0,,3.0,,28.0,5.0,4.0,,,,,,4.0,,,17.0,,107.0
141,Alison (MEI),,8.07,16,2.09,3.6,0.71,49.0,,1.0,,26.0,1.0,1.0,,,,,2.0,3.0,,,25.0,,70.0
142,Ernando (ZAG),,5.73,23,2.09,1.6,-0.44,17.0,1.0,1.0,4.0,4.0,4.0,7.0,,,,,,,,,18.0,,64.0
143,Everson (GOL),,7.88,21,2.06,-2.1,-1.14,1.0,,1.0,6.0,2.0,,,,17.0,,,,,,26.0,,,97.0
144,Kaio Jorge (ATA),,5.66,26,2.02,8.4,0.45,16.0,4.0,1.0,,34.0,15.0,2.0,1.0,,,,,5.0,,,37.0,2.0,55.0
145,Vinícius Balieiro (MEI),,3.75,6,2.02,-0.6,-0.08,12.0,,1.0,,6.0,,,,,,,,1.0,,,10.0,,9.0
146,Felipe Alves (GOL),,3.42,29,2.0,-2.9,-1.61,3.0,,,9.0,5.0,,,,20.0,3.0,,,,,32.0,,,296.0
147,Lucas Braga (ATA),,3.15,26,1.99,-0.7,-2.23,27.0,2.0,2.0,,43.0,5.0,6.0,,,,,,3.0,,,33.0,5.0,87.0
148,Danilo Gomes (ATA),,1.14,9,1.98,-0.4,-0.48,12.0,1.0,,,7.0,3.0,,,,,,,1.0,,,3.0,4.0,26.0
149,Dalberto (ATA),,3.53,10,1.97,0.0,0.0,5.0,1.0,,,9.0,7.0,7.0,2.0,,,,,,,,19.0,8.0,43.0
150,Nikão (MEI),,9.32,21,1.94,4.2,0.68,15.0,1.0,3.0,,40.0,13.0,10.0,2.0,,,,,4.0,1.0,,29.0,9.0,146.0
151,Lucas Fonseca (ZAG),,4.09,10,1.93,0.7,-0.56,9.0,,,3.0,4.0,1.0,1.0,,,,,,1.0,,,5.0,1.0,37.0
152,Rodrigues (ZAG),,2.84,18,1.89,3.3,0.65,16.0,,,5.0,10.0,6.0,1.0,,,,,,3.0,,,6.0,2.0,80.0
153,Pará (LAT),,6.55,23,1.83,-1.0,-0.12,34.0,,,5.0,22.0,10.0,2.0,,,,,,3.0,,,31.0,2.0,155.0
154,Cantillo (MEI),,5.97,15,1.81,5.9,1.0,20.0,,2.0,,14.0,5.0,2.0,,,,,,2.0,,,15.0,,46.0
155,Eduardo Barroca (TEC),,3.98,13,1.78,0.0,0.0,,,,,,,,,,,,,,,,,,
156,Rossi (ATA),,5.44,25,1.76,0.0,0.0,22.0,2.0,2.0,,32.0,9.0,8.0,,,,,,5.0,,,17.0,4.0,162.0
157,Luiz Henrique (MEI),,2.26,4,1.75,4.8,0.57,2.0,,1.0,,5.0,,,,,,,,,,,3.0,,10.0
158,Gomes (MEI),,2.04,7,1.71,3.4,0.6,16.0,,,,6.0,,,2.0,,,,,2.0,,,16.0,,10.0
159,Ewerthon (LAT),,2.87,6,1.7,0.0,0.0,4.0,,,2.0,2.0,1.0,,,,,,,,,,3.0,2.0,31.0
160,Uendel (LAT),,3.49,13,1.67,0.0,0.0,22.0,,1.0,3.0,5.0,,1.0,,,,,,1.0,,,19.0,,125.0
161,Paulão (ZAG),,2.75,26,1.65,-1.5,0.17,27.0,,,9.0,13.0,4.0,2.0,,,,,,6.0,,,34.0,3.0,107.0
162,Pablo (ATA),,7.12,22,1.62,0.0,0.0,14.0,1.0,2.0,,15.0,19.0,7.0,,,,,,2.0,,,30.0,9.0,38.0
163,Marcão Silva (MEI),,3.75,20,1.6,0.0,0.0,44.0,1.0,,,15.0,8.0,,,,,,,6.0,,,39.0,,25.0
164,Daniel Alves (MEI),,10.48,22,1.56,0.0,0.0,41.0,1.0,2.0,,40.0,18.0,6.0,,,,,,7.0,,,45.0,6.0,267.0
165,Marlon Freitas (MEI),,5.13,25,1.54,0.6,-0.07,40.0,,1.0,,17.0,16.0,9.0,1.0,,,,1.0,4.0,,,27.0,1.0,143.0
166,Betinho (MEI),,4.42,20,1.53,0.0,0.0,46.0,,1.0,,21.0,6.0,1.0,,,,,,4.0,,,37.0,,103.0
167,Léo Natel (ATA),,4.62,21,1.47,5.7,1.28,17.0,3.0,1.0,,11.0,8.0,6.0,,,,,,3.0,,,31.0,8.0,87.0
168,Matheus Henrique (MEI),,5.49,24,1.43,-1.7,-0.62,36.0,,1.0,,53.0,7.0,5.0,,,,,1.0,6.0,,,33.0,,113.0
169,Igor Gomes (MEI),,4.88,28,1.41,0.0,0.0,19.0,1.0,3.0,,29.0,7.0,10.0,,,,,,2.0,,,32.0,4.0,128.0
170,Luan Polli (GOL),,4.72,25,1.41,0.0,0.0,,,,7.0,2.0,,,,25.0,,,,3.0,,34.0,1.0,,261.0
171,Laércio (ZAG),,2.94,11,1.39,3.1,0.26,20.0,,,1.0,3.0,4.0,,,,,,,1.0,,,15.0,,49.0
172,Allan (MEI),,5.66,26,1.38,-1.2,-0.7,46.0,,,,23.0,14.0,6.0,1.0,,,,,5.0,,,33.0,,167.0
173,Jean Mota (MEI),,3.55,23,1.37,-0.7,-0.22,24.0,,1.0,,19.0,10.0,7.0,1.0,,,,,1.0,1.0,,24.0,,83.0
174,Iago Mendonça (ZAG),,1.66,6,1.37,4.5,0.78,8.0,,,2.0,,2.0,1.0,,,,,,3.0,,,10.0,,16.0
175,Marcelo Lomba (GOL),,9.11,33,1.36,4.2,-1.37,1.0,,,13.0,3.0,,,,20.0,,,,3.0,,30.0,,,368.0
176,Matheus Nascimento (ATA),,1.11,4,1.32,0.0,0.0,6.0,,,,3.0,,,,,,,,,,,2.0,1.0,7.0
177,Adryelson (ZAG),,3.3,30,1.31,0.0,0.0,31.0,,,7.0,19.0,8.0,3.0,1.0,,,1.0,,6.0,,,41.0,2.0,105.0
