Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Pedro Raul (ATA),,"9,39",17,"3,83","18,80","2,09",7,5,1,,21,17,11,,,,,,1,,,26,2,83
Cléber (ATA),,"12,43",23,"3,83","9,70","1,47",29,6,1,,23,18,10,1,,,,,,,,49,8,67
Otero (MEI),,"11,57",12,"3,82","6,90","-0,66",16,1,1,,36,12,10,3,,,,1,5,,,16,2,78
Ferreira (ATA),,"5,68",10,"3,82","5,50","0,56",11,2,,,9,7,6,,,,,,,,,7,,26
Sabino (ZAG),,"7,75",24,"3,80","-0,60","-1,09",43,4,,6,22,5,,1,,,1,,2,1,,10,2,128
Juninho Capixaba (LAT),,"8,66",14,"3,74","8,10","0,32",38,,2,3,17,4,3,,,,,,2,,,16,1,135
Léo Cittadini (MEI),,"12,34",21,"3,73","1,90","0,25",50,3,,,35,18,8,,,,,,4,,,42,1,78
Júnior Tavares (LAT),,"5,75",9,"3,72","5,70","0,10",14,,,3,16,4,2,,,,,,,,,8,,51
Vagner Mancini (TEC),,"7,76",22,"3,59","4,65","-0,40",,,,,,,,,,,,,,,,,,
Cuca (TEC),,"11,16",26,"3,57","3,78","0,33",,,,,,,,,,,,,,,,,,
Fagner (LAT),,"10,76",17,"3,57","0,80","-1,06",50,1,,5,16,5,5,,,,,1,2,,,22,2,194
Madson (LAT),,"5,76",19,"3,51","-0,70","-1,13",13,4,4,2,13,1,4,1,,,,,2,,,10,3,129
Savarino (ATA),,"6,17",18,"3,51","0,00","0,00",7,3,4,,20,18,5,3,,,,,2,,,15,7,122
Isla (LAT),,"10,04",16,"3,51","10,20","1,75",34,1,5,3,9,,,,,,,,3,,,19,6,118
Rogério Ceni (TEC),,"8,52",23,"3,50","6,64","0,53",,,,,,,,,,,,,,,,,,
Talles Magno (ATA),,"9,66",19,"3,49","0,00","0,00",27,2,2,,47,12,4,2,,,,1,3,,,18,4,83
David Duarte (ZAG),,"4,93",15,"3,45","4,40","0,03",25,1,,5,4,6,4,1,,,,1,1,,,11,,85
Arboleda (ZAG),,"8,75",8,"3,43","0,00","0,00",7,1,,3,3,2,4,,,,,,2,,,8,,24
Artur (ATA),,"11,97",22,"3,43","2,00","-1,47",27,,4,,48,24,13,2,,,,,1,1,,17,5,194
Marcelo Cabo (TEC),,"8,81",5,"3,43","0,00","0,00",,,,,,,,,,,,,,,,,,
Gerson (MEI),,"9,63",20,"3,40","2,00","-0,82",39,1,2,,75,10,6,,,,,,5,,,43,4,83
Natan (ZAG),,"4,12",9,"3,36","0,20","-0,76",18,1,1,1,3,2,1,1,,,,,3,,,8,,31
Tinga (LAT),,"5,94",14,"3,33","-1,20","-0,36",25,,2,5,9,1,2,1,,,,,1,,,9,1,170
Nino (ZAG),,"5,83",19,"3,33","0,00","0,00",33,2,,3,29,4,,,,,,,2,,,14,,77
Pachequinho (TEC),,"7,36",2,"3,33","1,60","-1,16",,,,,,,,,,,,,,,,,,
Gustavo Gómez (ZAG),,"11,15",16,"3,29","0,30","-0,88",27,1,1,6,15,5,2,,,,,1,3,,,21,9,52
Samuel Xavier (LAT),,"6,69",19,"3,28","4,00","0,36",38,,3,7,29,5,1,,,,,1,4,,,26,1,188
Gabriel Menino (MEI),,"6,09",19,"3,28","1,90","-1,20",48,,4,,40,14,5,,,,,,6,,,28,4,149
Maurício Barbieri (TEC),,"7,39",18,"3,26","1,48","-0,27",,,,,,,,,,,,,,,,,,
Neilton (ATA),,"7,80",14,"3,25","14,00","1,93",23,1,2,,19,6,5,,,,,,1,,,17,1,48
Carlos Eduardo (ATA),,"5,90",18,"3,20","3,60","0,10",15,3,2,,23,7,3,,,,,,,,,12,2,50
Cazares (MEI),,"11,38",8,"3,17","15,20","2,26",7,,3,,3,3,1,2,,,,,1,,,4,,38
Lucas Mugni (MEI),,"6,01",21,"3,17","8,40","1,28",56,1,3,,13,8,4,,,,,,2,,,22,4,132
Churín (ATA),,"9,07",7,"3,17","2,80","0,24",6,1,1,,8,4,,1,,,,,,,,9,1,20
Júnior Alonso (ZAG),,"10,47",18,"3,15","0,00","0,00",36,,1,7,2,10,4,1,,,,,5,,,29,,117
Michel Araújo (MEI),,"6,87",18,"3,13","0,00","0,00",27,1,,,55,15,8,1,,,,,5,,,25,1,77
Gil (ZAG),,"6,18",19,"3,09","2,40","-0,42",29,1,1,6,11,2,1,1,,,1,,2,,,15,1,77
Shaylon (MEI),,"3,63",10,"3,09","2,40","-0,21",15,1,1,,6,7,2,,,,,,,,,3,,66
Matheus Ferraz (ZAG),,"4,96",5,"3,08","0,00","0,00",5,,1,2,1,2,1,,,,,,2,,,5,,14
Léo Gil (MEI),,"5,72",7,"3,08","0,00","0,00",11,,3,,14,3,2,,,,,,3,,,11,,47
Réver (ZAG),,"7,67",16,"3,05","0,00","0,00",21,1,1,5,10,5,1,,,,,,3,,,13,,78
Renê (LAT),,"6,46",9,"3,05","0,00","0,00",19,1,,2,7,1,,,,,,,1,,,9,,74
Marcelo Alves (ZAG),,"2,95",7,"3,05","5,00","0,90",11,,,3,2,,,,,,,,,,,8,,16
John Victor (GOL),,"1,59",5,"3,04","2,00","0,38",,,,1,3,,,,6,,,,,,6,,,33
Bruno Alves (ZAG),,"8,03",14,"3,04","0,00","0,00",17,,,5,21,4,,,,,,,1,,,15,,37
Patric (LAT),,"8,42",24,"3,02","1,00","-1,70",41,1,5,4,28,13,2,1,,,,1,2,,,35,6,215
Léo Ortiz (ZAG),,"8,01",25,"3,02","0,70","-0,34",42,3,,5,11,7,2,,,,1,,3,,,15,,106
Paulo Autuori (TEC),,"8,47",20,"3,01","3,05","0,30",,,,,,,,,,,,,,,,,,
Fábio Sanches (ZAG),,"6,26",16,"3,01","0,00","0,00",28,,,6,14,3,1,,,,1,,3,,,12,,35
Jair Ventura (TEC),,"7,01",20,"3,01","1,41","-0,87",,,,,,,,,,,,,,,,,,
Caio Alexandre (MEI),,"7,28",22,"3,00","7,00","0,76",37,4,,,35,14,5,,,,,,5,,,31,3,108
Jonathan (LAT),,"4,75",15,"3,00","1,30","0,24",29,,,4,8,2,1,1,,,,,1,,,8,1,73
Gabriel Sara (MEI),,"5,00",20,"2,96","0,00","0,00",25,4,1,,23,18,6,,,,,,5,,,23,4,125
Lucca (ATA),,"4,77",5,"2,96","0,00","0,00",5,1,,,8,,2,,,,,,,,,5,2,11
Wellington Paulista (ATA),,"7,16",20,"2,93","-1,70","-0,41",6,5,1,,20,8,4,1,,,,,,,,21,5,37
Jô (ATA),,"11,45",14,"2,93","8,40","0,78",,4,1,,16,5,6,1,,,,,,1,,10,7,57
Marquinhos (ATA),,"5,87",22,"2,93","-3,20","-1,03",31,3,,,77,8,2,,,,,,7,,,27,,105
Soteldo (ATA),,"6,64",17,"2,92","0,50","0,32",7,3,3,,33,13,7,,,,,,6,,,11,3,128
Edenílson (MEI),,"10,67",22,"2,90","15,90","2,76",34,3,4,,25,11,5,1,,,,,5,,,35,2,161
Gabriel Veron (ATA),,"5,40",14,"2,89","-0,20","-0,41",15,3,1,,12,3,2,,,,,,1,,,14,2,43
Ricardo Sá Pinto (TEC),,"8,39",8,"2,89","5,74","0,82",,,,,,,,,,,,,,,,,,
Romarinho (ATA),,"8,22",21,"2,88","0,80","-0,58",16,2,,,47,11,8,1,,,,,2,,,10,2,65
Jefferson (LAT),,"4,93",13,"2,86","-1,70","-1,13",23,1,,5,10,4,,,,,1,1,1,,,9,2,95
Tiago (ZAG),,"6,62",17,"2,85","4,50","0,55",28,1,,6,14,4,1,,,,,,6,,,15,2,84
Abner Vinícius (LAT),,"9,51",21,"2,84","4,60","0,94",28,1,2,7,11,7,5,,,,,,3,,,24,1,198
Chico (ATA),,"5,13",22,"2,83","0,00","0,00",22,1,3,,39,11,12,2,,,,,2,,,26,1,140
Neto Borges (LAT),,"4,31",13,"2,82","0,00","0,00",25,,1,3,14,2,3,,,,,,3,,,14,1,71
Bruno Cortez (LAT),,"8,92",18,"2,80","-0,70","-0,91",34,,,7,18,2,1,,,,,1,1,,,21,2,117
Rodrigo Caio (ZAG),,"8,38",12,"2,78","2,90","0,30",21,,,3,7,4,1,,,,,,1,,,12,,25
Charles (MEI),,"6,53",21,"2,76","0,40","-0,51",54,2,1,,16,8,3,,,,,,4,,,37,,87
Juanfran (LAT),,"5,95",11,"2,72","0,00","0,00",17,,1,3,6,2,1,,,,,,2,,,7,,54
Dudu (LAT),,"4,83",22,"2,71","0,00","0,00",55,,,5,26,6,2,,,,,1,2,,,24,2,186
Fernando Prass (GOL),,"5,57",21,"2,70","0,00","0,00",,,,6,2,,,,28,,,,2,,32,1,,176
Lima (MEI),,"6,98",19,"2,70","10,90","1,09",28,3,1,,26,3,4,,,,,,4,,,20,4,59
Douglas Friedrich (GOL),,"7,88",16,"2,69","-4,00","-1,02",,,,3,3,,,,19,,,,,,21,,,74
Thiago Heleno (ZAG),,"6,41",17,"2,68","5,10","1,72",17,1,1,6,15,9,2,,,,1,1,3,,,15,,81
Aderlan (LAT),,"8,91",23,"2,68","1,70","0,13",69,,,5,24,8,3,,,,,,2,,,50,2,242
Abel Braga (TEC),,"10,62",6,"2,66","6,08","1,00",,,,,,,,,,,,,,,,,,
José Welison (MEI),,"3,52",7,"2,63","-0,30","-1,31",15,,1,,6,3,,,,,,,,,,10,,20
Leandro Castan (ZAG),,"12,85",16,"2,63","6,30","1,34",32,,,4,16,1,1,,,,,,2,,,19,,64
David (ATA),,"4,80",21,"2,60","1,30","-0,08",18,5,2,,24,14,4,,,,,,4,,,42,8,81
Léo Matos (LAT),,"7,14",7,"2,60","10,90","2,50",11,1,1,2,6,3,2,,,,,,4,,,16,1,71
Everson (GOL),,"10,36",14,"2,59","0,00","0,00",1,,1,4,1,,,,13,,,,,,18,,,63
Bruno Tubarão (MEI),,"3,80",19,"2,59","1,10","-0,14",33,1,1,,12,11,5,2,,,,,3,,,16,2,86
João Victor (ZAG),,"4,09",17,"2,58","0,00","0,00",35,,1,4,20,1,1,,,,,,6,,,19,,65
Diego Pituca (MEI),,"8,34",23,"2,57","5,60","0,01",54,1,,,36,7,5,,,,,,3,,,30,2,105
Rafinha (MEI),,"6,20",3,"2,57","3,60","0,07",7,,,,6,1,1,,,,,,,,,3,,28
Nino Paraíba (LAT),,"7,79",18,"2,54","1,80","0,16",40,,2,2,15,2,4,,,,,,2,,,18,1,149
Kanu (ZAG),,"5,08",22,"2,50","-0,60","-0,09",36,,1,4,23,4,2,,,,,,4,,,18,,60
Bruno Melo (LAT),,"4,32",14,"2,50","0,90","-0,20",14,2,,4,9,3,2,,,,,,3,,,21,2,68
Luan (ZAG),,"5,22",19,"2,49","-1,20","-1,21",26,,,7,11,4,,,,,,,4,,,13,2,68
Fernando Miguel (GOL),,"9,87",21,"2,48","12,20","1,92",,,,6,4,,,,20,2,,,,,29,,,157
Wilson (GOL),,"7,96",25,"2,47","-0,40","-0,30",1,,,6,2,,,,28,1,,,,,34,,,214
Thiago Neves (MEI),,"4,36",18,"2,45","-1,30","-1,79",7,3,2,,8,11,8,,,,,,2,,,8,,114
Felipe (MEI),,"5,24",20,"2,44","1,40","-0,34",58,1,,,35,5,2,,,,,1,6,,,32,,80
Ligger (ZAG),,"4,08",19,"2,44","-0,40","0,20",28,,1,5,11,5,1,,,,,,2,,,27,,49
Víctor Cuesta (ZAG),,"10,71",24,"2,43","4,40","0,63",41,,,10,24,1,2,,,,,,7,,,33,,172
Luan Cândido (LAT),,"2,35",6,"2,42","0,00","0,00",10,1,,2,2,3,,,,,,,3,,,13,,44
Gabriel (MEI),,"5,07",17,"2,40","3,30","-0,31",52,,1,,16,2,1,1,,,,,5,,,25,,75
Marcão (TEC),,"8,98",1,"2,38","0,00","0,00",,,,,,,,,,,,,,,,,,
Ramiro (MEI),,"6,63",16,"2,37","4,40","0,72",40,1,1,,13,7,4,1,,,,,5,,,29,1,101
Wellington Silva (ATA),,"5,14",17,"2,36","0,00","0,00",13,3,1,,31,5,1,,,,,,6,,,11,2,42
Rhodolfo (ZAG),,"4,29",9,"2,33","0,30","-0,77",15,,,2,4,1,,1,,,,,1,,,5,1,49
Marcelo Benevenuto (ZAG),,"6,50",20,"2,25","0,80","-0,05",29,,1,4,14,9,1,,,,,,5,,,16,1,60
Fernandão (ATA),,"6,00",10,"2,23","9,80","1,46",4,2,,,9,8,3,,,,,,1,,,8,5,37
Marcelo Chamusca (TEC),,"6,76",4,"2,22","0,50","-0,37",,,,,,,,,,,,,,,,,,
Iago Maidana (ZAG),,"5,92",23,"2,21","-0,60","-1,39",30,3,,4,15,7,2,,,,,,5,,,26,,153
Fabinho (MEI),,"4,14",20,"2,16","1,40","-0,47",46,,,,11,6,3,,,,,,3,,,9,,62
Luan Peres (ZAG),,"6,18",21,"2,14","0,00","0,00",30,,1,4,20,3,1,,,,,1,2,,,7,,112
Juninho (ZAG),,"7,99",19,"2,12","2,80","0,56",30,1,,2,6,4,2,,,,,1,1,,,4,1,72
Klaus (ZAG),,"4,22",5,"2,12","5,00","0,95",1,,,2,2,,,,,,,,,,,1,,9
Gustavo Mosquito (ATA),,"3,95",14,"2,09","6,70","0,71",9,2,,,14,5,2,,,,,,,,,9,1,42
Marlon Freitas (MEI),,"6,35",18,"2,08","0,00","0,00",33,,1,,15,11,9,1,,,,1,2,,,22,,106
Santos (GOL),,"6,15",19,"2,01","3,00","-0,02",1,,,5,1,,,,12,3,,,,,21,1,,149
Eduardo Barroca (TEC),,"4,48",7,"2,01","4,41","0,49",,,,,,,,,,,,,,,,,,
Breno (MEI),,"4,18",17,"2,01","0,80","-0,73",51,,,,21,4,2,1,,,,1,3,,,40,,50
Yago Felipe (MEI),,"3,79",17,"1,94","0,00","0,00",29,1,,,21,6,3,,,,,,3,,,21,1,58
Weverton (GOL),,"7,70",20,"1,92","-0,20","-1,97",1,,,7,1,,,,14,,,,,,19,,,158
Ernando (ZAG),,"5,62",16,"1,91","1,50","0,35",11,1,1,2,4,4,3,,,,,,,,,14,,50
Gustavo Ferrareis (MEI),,"7,61",21,"1,86","0,00","0,00",20,2,1,,38,13,3,,,,,,4,,,29,6,94
Luan Polli (GOL),,"4,35",18,"1,86","-2,10","-1,60",,,,5,2,,,,21,,,,3,,25,,,206
Ronald (MEI),,"2,78",15,"1,84","0,00","0,00",23,,1,,18,,2,,,,,,1,,,15,,23
Lucas Silva (MEI),,"5,22",21,"1,83","1,10","-0,39",25,1,,,27,8,5,1,,,,,4,,,16,,72
Carlinhos (MEI),,"5,40",16,"1,83","9,00","1,58",15,1,1,,16,7,1,,,,,,,,,14,,66
Marcão Silva (MEI),,"4,16",14,"1,81","-0,10","-0,32",30,1,,,11,4,,,,,,,3,,,27,,18
Rodinei (LAT),,"3,80",12,"1,75","0,00","0,00",25,,,2,17,1,2,,,,,,3,,,20,,97
Lucas Ribeiro (ZAG),,"4,03",2,"1,75","5,50","1,25",,,,1,1,1,,,,,,,1,,,1,,3
Cícero (MEI),,"5,21",4,"1,73","4,90","0,49",1,,1,,1,1,,,,,,,,,,,,4
Paulão (ZAG),,"2,75",19,"1,68","-0,80","0,13",19,,,6,9,3,2,,,,,,3,,,23,3,73
Kaio Jorge (ATA),,"4,45",21,"1,67","1,80","-0,73",13,2,1,,30,12,2,1,,,,,4,,,31,2,46
Ronaldo (MEI),,"3,70",12,"1,63","0,00","0,00",30,,1,,11,4,,,,,,,4,,,24,,41
Rodrigues (ZAG),,"2,05",11,"1,60","0,20","-0,41",6,,,4,3,4,1,,,,,,3,,,5,2,49
Felipe Alves (GOL),,"3,82",21,"1,56","2,40","-0,04",2,,,6,4,,,,15,1,,,,,22,,,241
Matheus Sales (MEI),,"3,89",19,"1,54","-0,10","0,26",38,,,,40,5,,,,,,,4,,,35,1,68
Daniel Alves (MEI),,"9,90",15,"1,52","0,00","0,00",27,1,2,,26,15,4,,,,,,7,,,38,2,179
Jackson (ZAG),,"3,70",14,"1,47","2,10","0,49",16,,,3,14,3,,,,,,,4,,,14,,49
Juninho (MEI),,"2,54",7,"1,45","-0,50","-0,50",6,,1,,4,1,,,,,,,,,,3,,22
Khellven (LAT),,"4,81",9,"1,42","6,60","0,83",15,,,2,3,2,,,,,,,2,,,11,,59
Uendel (LAT),,"3,27",11,"1,39","0,00","0,00",18,,,3,5,,1,,,,,,1,,,16,,114
Kevin (LAT),,"3,01",18,"1,36","1,10","-0,45",39,,1,2,19,1,3,,,,1,,2,,,21,1,237
Warley (ATA),,"2,67",7,"1,33","1,50","0,22",2,1,,,9,1,1,,,,,,1,,,9,,7
Igor Gomes (MEI),,"3,78",21,"1,26","0,00","0,00",14,1,1,,22,6,8,,,,,,2,,,26,1,86
Nikão (MEI),,"8,88",15,"1,22","1,70","0,13",11,,1,,24,11,6,2,,,,,2,1,,20,8,97
Adryelson (ZAG),,"3,40",23,"1,20","0,40","-0,59",26,,,5,15,6,2,1,,,1,,6,,,31,1,81
Luan (MEI),,"3,34",14,"1,19","0,00","0,00",28,,,,7,1,2,,,,,,4,,,15,,26
Marcos Felipe (GOL),,"1,18",6,"1,12","0,00","0,00",,,1,1,1,,,,4,,,,,,7,,,58
Willian Arão (MEI),,"6,98",20,"1,10","0,00","0,00",38,,,,9,7,2,,,,,,4,,,27,,71
Danilo (MEI),,"1,74",11,"1,08","1,40","0,06",16,,,,6,5,1,,,,,,3,,,8,,23
Éder (ZAG),,"3,08",20,"1,07","0,00","0,00",15,,,5,11,2,1,,,,,,3,,,25,,82
Willian Maranhão (MEI),,"2,82",13,"1,07","0,00","0,00",29,,,,9,5,2,,,,,1,3,,,22,1,34
Rafael Forster (ZAG),,"3,12",16,"1,05","1,20","0,03",15,,,3,14,6,1,,,,,1,2,,,15,2,86
Ariel Cabral (MEI),,"4,60",8,"1,00","0,00","0,00",20,,,,6,,2,,,,,,3,,,13,,49
Gregore (MEI),,"5,17",18,"0,91","-2,00","0,24",49,,2,,13,7,4,,,,,1,8,,,58,,95
Richard (MEI),,"1,52",17,"0,79","-3,10","-0,99",26,,,,16,3,1,,,,,,4,,,22,,53
Wellington Rato (MEI),,"1,66",6,"0,78","0,00","0,00",1,,,,2,1,3,1,,,,,,,,5,,22
Edson (MEI),,"1,25",9,"0,76","0,40","0,45",9,,,,12,1,,,,,,,2,,,3,,34
Hugo Souza (GOL),,"1,42",9,"0,71","0,00","0,00",,,,1,,,,,9,,,,,,15,,,46
Rodrigo Dourado (MEI),,"5,22",8,"0,67","5,40","1,62",8,,,,6,1,,1,,,,,2,,,8,,15
Diego Cavalieri (GOL),,"6,41",14,"0,63","9,80","2,76",,,,1,1,,,,13,1,,,2,,21,1,,93
Danilo Barcelos (LAT),,"2,28",14,"0,23","0,00","0,00",21,1,1,3,2,3,2,,,,,1,4,,,37,1,195
Christian (MEI),,"0,79",18,"0,14","-2,50","-0,10",15,1,,,21,2,2,1,,,,,6,,,33,2,84
Mariano Vázquez (MEI),,"1,42",10,"0,08","2,10","0,37",2,,,,8,1,,,,,,,1,,,5,1,10
Jemerson (ZAG),,"7,00",0,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,
Vanderson (LAT),,"1,00",0,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,
Dado Cavalcanti (TEC),,"7,38",0,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,
Cleiton (GOL),,"0,79",19,"-0,14","-2,30","0,01",,,,4,2,,,,8,,,,,,21,,,136
Praxedes (MEI),,"0,79",10,"-0,22","-1,20","0,00",10,,,,7,3,,,,,,,3,,,13,1,51
Ramires (MEI),,"4,08",4,"-0,30","0,10","-0,07",,,,,3,1,,,,,,,,,,3,2,10
Danilo Fernandes (GOL),,"4,27",0,"-2,00","0,00","0,00",,,,,,,,,,,,,1,,,,,
