Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Marinho (ATA),,"24,18",21,"10,21","2,50","-1,85",21,14,6,,96,28,17,1,,,,,4,,,28,17,119
Walter (GOL),,"5,84",2,"8,75","-0,40","-2,37",,,,1,,,,,4,,,,2,,,,,15
Thiago Galhardo (MEI),,"18,39",24,"7,30","3,30","0,28",19,15,5,,38,22,14,,,,,1,2,1,,22,15,110
Keno (ATA),,"14,33",22,"7,22","0,00","0,00",32,10,5,,37,27,22,4,,,,,4,1,,27,21,206
Vina (MEI),,"11,35",18,"6,92","6,70","-0,30",11,8,6,,15,22,20,1,,,,,2,1,,12,4,164
Calegari (LAT),,"6,21",10,"6,18","0,00","0,00",47,,,2,27,3,2,,,,,,,,,10,1,80
Roberson (ATA),,"5,71",2,"5,90","0,00","0,00",2,1,,,,,,1,,,,,,,,2,,2
Arrascaeta (MEI),,"17,52",14,"5,88","5,90","0,96",20,4,4,,15,12,8,1,,,,,,,,11,,137
Giovanni Augusto (MEI),,"7,96",18,"5,68","1,00","0,01",31,4,5,,41,7,4,1,,,,,1,,,11,1,116
Cano (ATA),,"12,93",20,"5,59","0,30","-1,91",8,11,,,15,10,13,1,,,,,,,,19,7,49
Bruno Henrique (ATA),,"15,10",18,"5,56","17,30","2,28",22,6,4,,48,14,10,3,,,,,7,1,,29,6,105
Claudinho (ATA),,"14,65",22,"5,38","6,50","-0,03",34,8,1,,34,23,19,,,,,,3,1,,19,4,213
Patrick (MEI),,"12,53",22,"5,26","4,70","-0,82",52,4,2,,47,12,7,3,,,,,1,,,30,2,107
Pinares (MEI),,"7,85",2,"5,20","0,00","0,00",,1,,,2,2,1,,,,,,,,,1,,9
Fábio Santos (LAT),,"6,46",10,"5,12","1,50","-1,60",19,1,,6,4,2,,,,,,,,,,8,,55
Reinaldo (LAT),,"13,79",19,"5,00","0,00","0,00",34,4,3,6,18,7,10,,,,,,3,,,24,,247
Viña (LAT),,"8,10",16,"4,96","-2,20","-1,40",52,,2,6,21,6,2,,,,,,3,,,22,2,122
Guilherme Arana (LAT),,"16,88",23,"4,95","0,00","0,00",38,3,3,8,20,16,15,,,,,,3,,,27,1,242
Glauber Ramos (TEC),,"5,81",4,"4,95","3,54","-0,06",,,,,,,,,,,,,,,,,,
Raul (MEI),,"8,66",17,"4,89","3,10","-0,01",70,1,1,,45,5,1,,,,,,1,,,30,1,100
Brenner (ATA),,"6,36",17,"4,86","0,00","0,00",9,6,1,,26,14,10,1,,,,,3,,,14,5,30
Abel Ferreira (TEC),,"12,33",7,"4,85","1,37","-1,32",,,,,,,,,,,,,,,,,,
Renato Kayzer (ATA),,"8,75",20,"4,80","10,70","1,35",13,8,1,,32,18,15,1,,,,,2,,,37,14,76
Guga (LAT),,"13,73",20,"4,68","0,00","0,00",47,1,1,8,24,6,2,1,,,,,1,,,21,,162
Pedro (ATA),,"7,64",19,"4,59","13,50","2,14",5,8,1,,19,8,15,,,,,,1,1,,18,4,37
Vargas (ATA),,"9,86",3,"4,50","0,00","0,00",2,1,1,,4,4,,,,,,,1,,,1,5,17
Matheus Galdezani (MEI),,"10,50",18,"4,43","0,20","-0,96",57,1,1,,37,11,6,2,,,,,4,,,23,,113
Everton Ribeiro (MEI),,"8,34",20,"4,43","-0,50","-0,36",25,6,2,,38,14,7,1,,,,,4,,,23,1,159
Gilberto (ATA),,"11,09",19,"4,42","16,20","2,21",11,5,1,,28,18,20,1,,,,,3,1,,17,5,61
Tadeu (GOL),,"10,00",19,"4,42","7,60","0,08",,,,6,7,,1,,30,1,,,,,30,1,,175
Fernando Sobral (MEI),,"12,18",23,"4,39","0,20","-0,19",73,1,3,,39,16,9,1,,,,,2,,,39,6,144
Jorge Sampaoli (TEC),,"14,22",23,"4,33","0,00","0,00",,,,,,,,,,,,,,,,,,
Felipe Jonatan (LAT),,"12,67",24,"4,33","7,20","1,14",77,2,1,4,26,15,4,,,,,,5,,,27,1,195
Paulo Victor (GOL),,"6,36",6,"4,33","0,00","0,00",,,1,3,,,,,5,,,,,,5,,,40
Jean (GOL),,"10,41",23,"4,26","0,00","0,00",1,2,,6,8,1,1,,28,1,,,1,,26,1,,196
Vinícius (ATA),,"4,72",15,"4,25","0,40","-0,28",18,3,2,,29,9,10,,,,,,2,,,25,1,49
Victor Luis (LAT),,"9,03",17,"4,08","0,00","0,00",50,2,1,3,16,4,5,,,,,1,1,1,,17,,141
Renato Gaúcho (TEC),,"12,40",24,"4,02","1,66","-0,40",,,,,,,,,,,,,,,,,,
Tiago Volpi (GOL),,"12,94",21,"3,95","0,00","0,00",1,,1,6,4,,,,20,3,,,1,,20,,,139
Bruno Pacheco (LAT),,"9,45",20,"3,90","8,00","1,10",53,,2,7,24,3,,,,,,1,1,,,26,,145
Dalberto (ATA),,"4,88",3,"3,87","9,80","1,86",1,1,,,,3,3,1,,,,,,,,8,3,9
Guto Ferreira (TEC),,"9,74",25,"3,85","5,33","0,36",,,,,,,,,,,,,,,,,,
Fernando Diniz (TEC),,"9,49",21,"3,84","0,00","0,00",,,,,,,,,,,,,,,,,,
