Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Vina (MEI),,"12,21",24,"7,07","8,10","-2,36",11,12,8,,20,29,23,1,,,,,3,1,,16,4,208
Claudinho (ATA),,"17,10",28,"6,95","14,30","-0,92",43,14,5,,43,26,21,,,,,,4,1,,24,4,269
Luciano (ATA),,"10,46",22,"6,40","6,50","-0,47",26,13,1,,38,13,6,1,,,,,4,,,26,6,98
Arrascaeta (MEI),,"17,74",20,"6,26","5,30","0,73",30,6,5,,30,15,14,2,,,,,,,,13,,209
Yuri Alberto (ATA),,"4,95",17,"5,76","4,40","-3,98",7,10,1,,15,12,12,1,,,,,3,,,34,4,34
Cano (ATA),,"15,67",26,"5,53","16,90","2,99",12,13,1,,18,16,18,1,,,,,,,,23,11,61
Hyoran (MEI),,"13,51",21,"5,39","11,40","1,04",25,8,3,,30,16,11,2,,,,,2,1,,30,2,137
Raul (MEI),,"9,41",23,"5,34","3,80","-0,27",97,2,2,,59,6,1,,,,,,1,,,39,1,135
Calegari (LAT),,"6,20",15,"5,31","5,40","0,42",56,,,4,41,5,2,1,,,,,2,,,20,1,119
Patrick (MEI),,"11,94",28,"5,18","-0,40","-1,47",70,4,4,,63,14,7,3,,,,,1,,,39,2,144
Gabriel (ATA),,"11,88",18,"5,06","2,00","0,06",7,8,,,17,20,16,1,,,,1,2,,,5,13,85
Guilherme Arana (LAT),,"16,00",28,"4,98","-0,30","-0,36",45,3,6,9,30,17,16,,,,,,3,,,34,1,292
Bruno Henrique (ATA),,"11,90",23,"4,90","0,00","0,00",29,6,5,,57,20,13,3,,,,,9,1,,39,7,132
Renato Kayzer (ATA),,"8,88",25,"4,89","9,10","1,67",15,11,1,,39,19,17,2,,,,,3,,,43,20,90
Thiago Andrade (ATA),,"2,09",4,"4,88","5,50","-0,62",7,1,,,8,6,,,,,,,1,,,3,,8
Fernando Sobral (MEI),,"13,17",29,"4,81","4,00","-1,05",103,2,3,,45,19,10,1,,,,,2,,,46,6,171
Reinaldo (LAT),,"13,61",25,"4,77","1,40","-0,73",49,4,5,6,30,9,10,,,,,,3,,,27,,316
Egídio (LAT),,"10,24",15,"4,75","8,00","0,13",61,,4,2,13,1,5,,,,,,1,,,19,1,210
Brenner (ATA),,"6,51",23,"4,68","0,50","0,41",12,8,1,,32,18,16,1,,,,,5,,,17,6,44
Nenê (MEI),,"12,15",23,"4,46","0,40","0,10",21,8,1,,40,19,10,,,,,,2,1,,11,,215
Jorge Sampaoli (TEC),,"14,01",28,"4,38","3,52","0,33",,,,,,,,,,,,,,,,,,
Alisson (MEI),,"10,32",18,"4,37","1,20","0,73",21,1,4,,50,19,15,1,,,,,2,,,21,4,151
Gustavo Morínigo (TEC),,"8,79",4,"4,34","2,12","-0,22",,,,,,,,,,,,,,,,,,
Guga (LAT),,"13,11",25,"4,31","2,70","0,01",64,1,1,9,30,6,2,1,,,,,2,,,29,,209
Everton Ribeiro (MEI),,"8,68",26,"4,21","0,80","-0,32",38,6,2,,54,17,10,1,,,,,4,,,27,1,202
Matheus Bahia (LAT),,"2,62",9,"4,17","6,00","-0,38",31,,1,1,14,3,3,,,,,,1,,,15,1,65
Vargas (ATA),,"9,05",8,"4,08","0,20","-0,50",8,1,1,,8,8,5,2,,,,,1,,,4,6,37
Filipe Luís (LAT),,"7,74",23,"4,06","6,80","0,17",74,2,2,6,28,1,2,1,,,1,,6,,,36,1,213
Abel Braga (TEC),,"11,26",12,"4,03","3,10","-0,45",,,,,,,,,,,,,,,,,,
Matheus Galdezani (MEI),,"10,01",21,"4,02","-1,00","-0,44",61,1,1,,40,15,8,2,,,,,5,,,28,1,127
Jean Pyerre (MEI),,"11,98",12,"3,99","8,80","1,56",13,2,1,,10,15,4,1,,,,,,,,6,,80
David Braz (ZAG),,"9,51",17,"3,96","0,00","0,00",35,2,,5,6,5,2,1,,,,1,1,,,13,,76
Léo Chú (ATA),,"2,84",15,"3,93","-2,20","-1,05",28,1,5,,16,9,5,,,,,,3,,,13,8,66
Guto Ferreira (TEC),,"9,44",31,"3,91","2,03","-0,86",,,,,,,,,,,,,,,,,,
Moisés (LAT),,"9,74",21,"3,84","-2,20","-1,36",51,,4,9,10,6,2,1,,,,,2,,,48,2,213
Carlos Eduardo (ATA),,"6,41",24,"3,80","2,80","0,52",26,5,4,,31,9,5,,,,,,1,,,26,2,76
Renato Gaúcho (TEC),,"12,37",29,"3,80","2,83","0,44",,,,,,,,,,,,,,,,,,
Marcelo Cabo (TEC),,"9,92",11,"3,80","6,88","0,48",,,,,,,,,,,,,,,,,,
Gilberto (ATA),,"8,64",22,"3,75","3,30","0,92",13,5,1,,33,21,21,1,,,,,5,1,,26,6,67
Artur (ATA),,"12,02",27,"3,73","1,40","-1,13",34,1,5,,54,33,15,2,,,,,2,1,,19,5,239
Benítez (MEI),,"10,02",19,"3,71","9,00","1,13",46,1,2,,42,12,8,,,,,,3,,,20,2,169
Rogério Ceni (TEC),,"8,50",29,"3,69","4,39","0,19",,,,,,,,,,,,,,,,,,
Talles Magno (ATA),,"9,71",25,"3,69","-0,50","-0,60",40,3,2,,58,14,7,2,,,,1,4,,,22,4,102
Lima (MEI),,"7,59",25,"3,69","9,90","-0,46",39,6,2,,37,5,5,,,,,,5,,,26,4,82
Marcão (TEC),,"9,55",6,"3,69","6,25","0,75",,,,,,,,,,,,,,,,,,
David Duarte (ZAG),,"6,24",21,"3,68","10,10","1,43",39,2,,6,7,9,5,1,,,,1,1,,,16,,126
Diogo Barbosa (LAT),,"8,76",20,"3,67","4,50","0,69",46,,3,4,16,6,1,,,,,,1,,,14,1,119
Savarino (ATA),,"6,76",23,"3,65","3,20","0,34",9,4,5,,22,20,8,4,,,,,2,,,18,7,144
Maurício Barbieri (TEC),,"8,63",24,"3,65","6,39","0,15",,,,,,,,,,,,,,,,,,
Júnior Alonso (ZAG),,"10,26",23,"3,63","1,30","-0,03",45,1,2,8,2,12,5,1,,,,,5,,,29,,146
Eduardo Sasha (ATA),,"9,85",24,"3,61","12,80","2,18",12,6,3,,22,9,10,1,,,,,1,1,,16,2,67
Yago Pikachu (LAT),,"8,98",20,"3,60","8,60","1,30",28,2,,6,29,7,4,2,,,,,5,,,19,3,121
Abner Vinícius (LAT),,"11,37",26,"3,59","13,80","2,51",44,2,2,10,12,9,6,,,,,,3,,,33,1,239
Caio (ATA),,"4,54",8,"3,54","0,00","0,00",6,2,,,31,2,2,1,,,,,3,,,14,,32
Isla (LAT),,"8,55",22,"3,52","-0,60","-0,72",45,1,5,6,15,2,,,,,,,4,,,27,7,147
Glauber Ramos (TEC),,"6,10",10,"3,50","4,38","0,72",,,,,,,,,,,,,,,,,,
Natanael (LAT),,"3,03",16,"3,48","2,70","-1,36",34,1,,5,17,3,1,,,,,1,,,,23,1,64
Fernando Diniz (TEC),,"9,44",27,"3,47","2,25","0,18",,,,,,,,,,,,,,,,,,
Vanderlei Luxemburgo (TEC),,"10,22",19,"3,46","3,55","0,36",,,,,,,,,,,,,,,,,,
Fábio Sanches (ZAG),,"6,89",20,"3,44","0,00","0,00",37,1,,7,16,3,1,,,,1,,3,,,15,,44
Natanael (LAT),,"6,11",14,"3,41","13,40","1,74",23,1,1,4,15,4,1,,,,,,1,,,11,2,117
Nino (ZAG),,"6,92",21,"3,41","8,80","1,47",38,2,,4,32,4,,,,,,,3,,,15,,84
Douglas Friedrich (GOL),,"9,32",21,"3,39","3,10","-0,01",,,,4,3,,,,29,,,,,,28,,,103
Tiago (ZAG),,"6,87",23,"3,37","3,10","-0,48",43,1,,8,18,6,2,1,,,,,6,,,18,2,105
Bruno Pacheco (LAT),,"7,94",25,"3,29","-0,10","-0,04",61,,2,8,29,3,,,,,,1,3,,,31,,193
Paulo Autuori (TEC),,"8,71",26,"3,27","2,85","0,35",,,,,,,,,,,,,,,,,,
Dado Cavalcanti (TEC),,"7,82",5,"3,27","2,58","-0,13",,,,,,,,,,,,,,,,,,
