Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Ytalo (ATA),,"6,63",24,"3,26","3,60","0,51",18,2,5,,16,14,12,1,,,,,,,,19,6,46
Tadeu (GOL),,"7,94",25,"3,25","-3,00","0,77",1,,,7,9,,1,,36,1,,,1,,42,2,,246
Edenílson (MEI),,"9,71",27,"3,24","7,90","1,06",46,4,5,,31,13,7,1,,,,,6,,,39,3,197
Pedro Henrique (ZAG),,"5,32",22,"3,21","0,40","-0,74",35,,,8,15,4,1,,,,,,1,,,11,,90
Nathan (MEI),,"9,38",19,"3,20","0,80","0,01",20,3,1,,9,7,9,,,,,,,,,7,2,46
Helinho (ATA),,"4,51",9,"3,19","6,70","0,40",17,1,2,,6,1,2,1,,,,,3,,,12,,35
Samuel Xavier (LAT),,"5,86",24,"3,18","-2,00","-1,16",43,1,3,8,33,5,3,,,,,1,5,,,31,2,221
Gerson (MEI),,"9,58",25,"3,12","2,90","0,35",46,1,2,,90,14,8,,,,,,6,,,53,4,117
Léo Ortiz (ZAG),,"9,09",30,"3,12","7,00","0,75",56,3,,6,13,7,2,1,,,1,,4,,,15,,135
Luccas Claro (ZAG),,"7,12",23,"3,09","6,00","0,66",34,2,,6,14,6,1,,,,,,,,,17,3,122
Cléber (ATA),,"10,97",29,"3,08","3,30","0,73",32,6,1,,36,21,13,1,,,,,1,,,67,10,90
Thiago Heleno (ZAG),,"6,16",23,"3,07","0,90","-0,34",28,1,1,9,20,11,2,,,,1,1,3,,,18,,116
Fernandão (ATA),,"6,59",15,"3,07","10,80","1,77",11,4,,,19,12,5,,,,,,3,,,14,6,60
Tiago Volpi (GOL),,"12,26",27,"3,05","1,20","1,15",1,,1,6,5,,,,27,3,,,1,,33,,,170
Marquinhos (ATA),,"7,31",27,"3,05","5,10","0,77",42,3,1,,88,10,3,,,,,,7,,,35,,128
Jonathan (LAT),,"5,18",19,"3,04","3,20","-0,24",40,,,5,9,3,1,1,,,,,2,,,11,1,85
Réver (ZAG),,"7,52",20,"2,98","0,00","0,00",27,1,1,6,15,5,1,,,,,,3,,,15,,93
Raul Prata (LAT),,"4,99",10,"2,98","2,60","0,15",13,,,5,5,,1,,,,,,2,,,6,,49
Aderlan (LAT),,"10,26",28,"2,96","9,60","1,07",88,,1,6,27,11,4,,,,,,4,,,58,3,287
Janderson (ATA),,"5,96",26,"2,91","3,30","-0,13",25,3,4,,28,16,8,,,,,,1,,,22,3,153
Gabriel Dias (LAT),,"7,10",25,"2,91","1,40","-0,90",19,1,1,9,24,6,5,,,,,1,1,,,19,3,93
Nino Paraíba (LAT),,"7,71",23,"2,88","-0,10","-1,31",50,,3,3,24,7,5,,,,,,2,,,25,1,202
Shaylon (MEI),,"4,09",16,"2,87","3,80","0,90",22,1,3,,11,9,4,,,,,,,,,7,,129
Jair Ventura (TEC),,"7,81",26,"2,87","6,30","0,95",,,,,,,,,,,,,,,,,,
Júnior Tavares (LAT),,"5,71",14,"2,86","6,20","1,97",18,,,5,22,6,2,,,,,1,,,,15,1,82
Wellington Paulista (ATA),,"7,69",26,"2,86","1,50","-0,73",6,7,1,,28,12,5,1,,,,,1,,,29,6,60
Victor Ferraz (LAT),,"6,59",11,"2,84","-1,20","-0,53",17,,2,3,4,3,2,,,,,,2,,,8,,96
Jair (MEI),,"7,14",21,"2,84","0,80","-0,81",49,2,2,,44,7,1,,,,,,7,,,45,,78
Víctor Cuesta (ZAG),,"10,88",30,"2,82","4,30","-0,46",45,1,1,12,26,3,2,1,,,,,8,,,36,,199
Wellington Rato (MEI),,"3,48",12,"2,80","4,60","0,61",13,,2,,13,5,9,1,,,,,1,,,11,1,57
Leandro Castan (ZAG),,"12,01",22,"2,79","1,30","-0,20",44,,,6,20,1,1,,,,,,2,,,24,,89
Iago Maidana (ZAG),,"9,17",28,"2,74","18,10","3,25",42,4,1,6,16,8,2,,,,,,7,,,34,,176
Arboleda (ZAG),,"8,67",12,"2,73","3,00","0,53",12,1,,3,10,3,6,,,,,,3,,,14,,37
Gabriel Sara (MEI),,"4,60",25,"2,73","0,00","0,00",31,4,1,,28,24,8,,,,,,5,,,28,5,162
Zé Roberto (ATA),,"4,85",18,"2,72","-1,30","-2,64",9,3,2,,46,12,10,,,,,,4,,,37,7,85
Lucca (ATA),,"5,88",10,"2,71","8,60","1,60",11,2,,,15,2,2,,,,,,,,,12,2,44
Rodrigo Dourado (MEI),,"5,52",14,"2,69","3,30","0,46",25,2,,,15,2,,1,,,,,2,,,16,,36
Hugo Souza (GOL),,"4,12",14,"2,69","11,50","1,56",,,,4,1,,,,16,,,,,,19,,,89
Patric (LAT),,"8,90",30,"2,68","5,30","0,79",43,1,5,6,35,15,6,1,,,1,1,2,,,37,9,279
Bruno Alves (ZAG),,"8,24",19,"2,65","4,00","0,71",27,,,5,32,7,,,,,,,3,,,25,,47
João Victor (ZAG),,"4,40",21,"2,64","6,60","0,84",37,,2,6,24,1,1,,,,,,8,,,24,,74
Luiz Otávio (ZAG),,"4,93",24,"2,64","0,60","-0,73",45,1,,8,6,3,1,1,,,,1,7,,,28,,66
Thiago Neves (MEI),,"5,77",23,"2,61","6,70","1,13",9,5,2,,12,13,10,,,,,,3,,,10,1,161
Khellven (LAT),,"5,03",15,"2,60","4,80","0,36",23,,1,5,4,3,1,,,,,,2,,,15,,82
Jefferson (LAT),,"5,63",19,"2,58","2,40","0,45",36,1,,6,14,7,,,,,1,1,1,,,18,2,157
Wilson (GOL),,"8,15",31,"2,56","0,40","0,61",1,,,8,3,,,,35,1,,,,,42,,,267
Enderson Moreira (TEC),,"5,34",12,"2,55","-0,18","-0,91",,,,,,,,,,,,,,,,,,
Richard (GOL),,"3,67",9,"2,48","1,00","-0,39",,,,4,4,,,,7,,,,1,,8,,,97
Isaque (ATA),,"5,37",19,"2,48","0,00","0,00",11,2,1,,11,15,8,,,,,,,,,12,2,50
David (ATA),,"4,75",25,"2,48","1,10","-0,15",25,5,2,,26,17,6,,,,,,4,,,45,12,100
Juanfran (LAT),,"6,11",15,"2,46","1,40","0,20",24,,1,3,10,2,3,,,,,,2,,,10,,83
Fernando Miguel (GOL),,"7,86",27,"2,43","-0,90","0,62",,,,8,5,,,,27,2,,,,,39,,,207
Diego (MEI),,"5,84",20,"2,35","3,40","0,41",21,1,3,,46,6,2,,,,,,4,,,23,,76
Felipe (MEI),,"5,13",25,"2,35","0,00","0,00",70,1,,,45,8,2,,,,,1,8,,,38,,105
Carlinhos (LAT),,"6,46",20,"2,34","0,00","0,00",28,,,9,25,3,,,,,1,,3,,,33,2,127
Rafael Moura (ATA),,"8,41",21,"2,31","17,10","3,22",9,8,,,19,22,6,,,,,,8,,,41,18,133
Lucas Ribeiro (ZAG),,"3,72",7,"2,31","2,20","0,53",8,,,2,4,2,1,,,,,,1,,,5,,21
Santos (GOL),,"5,45",25,"2,29","-3,10","-0,16",1,,,8,1,,,,16,3,,,,,24,1,,210
Dudu (LAT),,"5,17",27,"2,28","3,90","-0,06",58,,1,6,30,7,2,,,,1,1,3,,,29,3,223
Léo Gil (MEI),,"5,39",13,"2,28","1,50","0,00",17,,3,,25,5,3,,,,,,3,,,14,,95
Ligger (ZAG),,"4,92",22,"2,27","5,90","1,36",29,,1,6,11,5,2,,,,,,3,,,29,,55
Luiz Henrique (ATA),,"3,69",20,"2,25","6,70","0,67",27,1,2,,9,9,2,,,,,,1,,,12,3,42
Ronaldo (MEI),,"3,87",16,"2,24","3,40","0,22",46,,1,,14,5,1,,,,,,4,,,28,,53
Dalberto (ATA),,"3,98",9,"2,22","2,40","0,48",4,1,,,9,7,7,2,,,,,,,,17,8,40
Fred (ATA),,"4,13",17,"2,21","0,00","0,00",4,4,2,,30,3,4,,,,,,5,,,24,4,66
Henrique (LAT),,"6,31",21,"2,19","1,20","1,02",48,,1,6,19,,2,,,,,1,6,,,37,3,118
Osvaldo (ATA),,"5,88",27,"2,19","0,80","0,07",28,1,3,,21,14,7,1,,,,,2,,,14,4,125
Ricardo Ryller (MEI),,"4,53",24,"2,17","2,10","0,55",57,2,1,,25,15,5,,,,,,9,,,60,1,80
Everson (GOL),,"7,29",19,"2,16","-6,40","-1,24",1,,1,5,2,,,,17,,,,,,25,,,89
Fabinho (MEI),,"4,16",26,"2,12","0,70","-0,22",57,,,,17,7,3,,,,,,3,,,11,,79
Luiz Henrique (MEI),,"1,93",10,"2,11","2,60","-1,21",15,1,,,3,1,2,,,,,,,,,8,,25
Hugo Moura (MEI),,"3,47",22,"2,06","2,30","-1,32",41,1,2,,26,7,1,,,,,,4,,,37,,69
Rodinei (LAT),,"3,88",18,"2,04","-3,60","-1,12",32,,1,4,21,1,2,,,,,,4,,,25,,134
Edimar (LAT),,"4,98",25,"2,03","5,90","0,95",43,1,,5,13,16,5,,,,,,5,,,35,1,226
Gustavo Henrique (ZAG),,"6,41",17,"2,01","8,90","0,50",17,2,,5,7,5,2,,,,1,1,4,,,22,,45
Ernando (ZAG),,"5,55",21,"2,01","0,80","-0,68",16,1,1,3,4,4,6,,,,,,,,,16,,60
Felipe Alves (GOL),,"3,80",27,"2,00","-0,20","-1,79",2,,,9,5,,,,19,2,,,,,29,,,275
Rodrigues (ZAG),,"2,58",16,"1,96","1,80","0,24",13,,,5,8,6,1,,,,,,3,,,5,2,72
Nikão (MEI),,"9,20",19,"1,94","3,20","0,32",13,1,3,,34,12,9,2,,,,,4,1,,27,9,125
Lucas Silva (MEI),,"5,86",26,"1,85","5,20","0,94",36,1,,,32,11,6,1,,,,,5,,,22,,95
Jackson (ZAG),,"3,48",17,"1,84","-0,50","-1,06",19,,,5,15,3,2,,,,,,5,,,19,,55
Lucas Fonseca (ZAG),,"4,57",8,"1,82","0,00","0,00",8,,,2,4,1,1,,,,,,1,,,5,,30
Richard (MEI),,"2,44",22,"1,81","-1,10","-0,95",50,,1,,24,5,1,,,,,,4,,,33,,80
Rossi (ATA),,"5,28",24,"1,77","0,70","-0,84",20,2,2,,29,9,7,,,,,,4,,,16,4,155
Hudson (MEI),,"5,09",19,"1,65","0,00","-0,08",42,,2,,19,4,4,,,,1,1,2,,,33,3,64
Léo Matos (LAT),,"5,60",12,"1,64","3,20","0,96",13,1,2,3,8,4,5,,,,,,7,,,25,1,125
Marlon Freitas (MEI),,"5,24",23,"1,62","1,00","0,05",38,,1,,17,15,9,1,,,,1,4,,,27,,133
Breno (MEI),,"3,85",22,"1,60","-0,30","0,08",62,,,,23,6,3,1,,,,1,7,,,49,,61
Betinho (MEI),,"4,50",19,"1,54","2,10","-0,15",44,,1,,21,6,1,,,,,,4,,,37,,97
Ronald (MEI),,"2,98",21,"1,54","2,30","0,43",32,,1,,21,1,2,,,,,,2,,,21,,41
Daniel Alves (MEI),,"10,18",21,"1,51","1,00","-0,16",38,1,2,,37,18,6,,,,,,7,,,45,5,253
Luan Polli (GOL),,"5,18",24,"1,41","4,70","1,43",,,,7,2,,,,23,,,,3,,31,1,,256
Adryelson (ZAG),,"4,45",29,"1,40","6,10","1,13",31,,,7,19,8,3,1,,,1,,6,,,39,2,103
Rafinha (MEI),,"5,73",6,"1,37","2,40","0,85",10,,,,15,2,1,,,,,,1,,,9,1,51
Éder (ZAG),,"4,46",26,"1,34","5,60","0,63",23,,,7,11,4,2,,,,,,4,,,33,1,90
Vanderlei (GOL),,"6,19",22,"1,34","-4,80","-0,38",,,,6,4,,,,14,,,,2,,20,,,148
Willian Arão (MEI),,"7,28",26,"1,28","2,20","0,30",50,,,,12,10,2,,,,,,4,,,32,,90
Praxedes (MEI),,"1,89",16,"1,28","5,10","0,52",26,1,,,15,8,2,,,,,,3,,,29,1,87
Igor Gomes (MEI),,"3,25",27,"1,18","-1,70","-0,32",17,1,2,,29,6,9,,,,,,2,,,31,4,120
Marcos Felipe (GOL),,"1,82",11,"1,18","3,90","1,04",,,1,3,1,,,,7,,,,,,13,,,95
Wanderson (ZAG),,"2,66",4,"1,17","0,00","0,00",3,,,1,4,,,,,,,,1,,,4,,13
Matheus Vargas (MEI),,"3,05",23,"1,10","0,00","0,00",16,,1,,35,13,4,,,,,,3,,,28,1,78
Marcelo Lomba (GOL),,"8,40",31,"0,89","1,30","0,77",1,,,12,3,,,,16,,,,3,,29,,,349
Bruno Gomes (MEI),,"2,83",15,"0,85","1,40","0,51",28,,,,30,2,1,,,,,2,3,,,23,,55
Taylon (LAT),,"1,73",3,"0,80","-2,20","-0,56",3,,,1,1,,,,,,,,1,,,6,,11
Heron (ZAG),,"1,72",18,"0,77","5,00","0,84",17,,1,2,10,1,,,,,,,4,,,18,,69
Martinelli (MEI),,"1,03",6,"0,77","0,90","0,25",11,,,,4,1,2,,,,,,2,,,10,,26
Gregore (MEI),,"5,77",22,"0,77","3,70","0,68",56,,2,,16,8,5,,,,,1,9,,,69,,120
Luan (MEI),,"3,11",19,"0,74","-0,50","-0,24",32,,,,11,2,2,,,,,,5,,,25,,51
Henrique Vermudt (MEI),,"1,46",6,"0,67","-0,50","-0,43",6,,,,2,1,,,,,,,,,,2,,28
Ariel Cabral (MEI),,"4,09",13,"0,66","0,00","0,00",27,,,,8,2,2,,,,,,4,,,21,,79
Nathan Silva (MEI),,"1,33",14,"0,63","-4,20","-1,04",24,1,1,,11,7,,,,,,,8,,,35,,56
Ronaldo Henrique (MEI),,"3,23",18,"0,57","3,70","0,62",21,,,,14,5,,,,,,,3,,,21,,52
Nathan Ribeiro (ZAG),,"2,35",4,"0,42","0,10","0,09",1,,,1,1,,,,,,,,1,,,3,,13
Mariano Vázquez (MEI),,"1,35",14,"0,23","1,60","0,31",5,,,,11,3,1,,,,,,1,,,11,3,19
Fernando Canesin (MEI),,"1,21",11,"-0,16","1,10","0,22",7,,,,3,1,1,,,,,,3,,,7,,28
Cleiton (GOL),,"1,78",25,"-0,16","7,00","1,00",1,,,5,4,,,,11,,,,,,28,,,200
Ramon (MEI),,"0,78",8,"-0,44","0,00","0,00",5,,,,7,,1,,,,,,3,,,9,,27
Maurício Kozlinski (GOL),,"1,56",1,"-7,80","0,00","0,00",,,,,,,,,,,,,,,3,,,18
