Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Jean Pyerre (MEI),,"10,42",11,"3,55","0,30","-0,08",13,1,1,,8,15,3,1,,,,,,,,5,,71
Victor Luis (LAT),,"9,62",22,"3,55","3,30","0,36",60,2,1,3,22,4,6,,,,,1,1,1,,19,,187
Juan Ramírez (ATA),,"2,85",6,"3,55","-2,50","-0,81",2,2,1,,15,5,1,,,,,,2,,,13,,39
Maurício Barbieri (TEC),,"8,48",23,"3,53","6,88","0,61",,,,,,,,,,,,,,,,,,
Natanael (LAT),,"4,39",15,"3,53","12,20","0,55",33,1,,5,14,2,1,,,,,1,,,,23,1,58
Fernando Diniz (TEC),,"9,26",26,"3,52","1,75","-0,16",,,,,,,,,,,,,,,,,,
Tadeu (GOL),,"7,17",24,"3,51","-8,30","-0,76",1,,,7,9,,1,,35,1,,,1,,39,2,,236
Marcelo Cabo (TEC),,"9,44",10,"3,49","6,15","0,69",,,,,,,,,,,,,,,,,,
Vanderlei Luxemburgo (TEC),,"9,86",18,"3,46","2,07","0,09",,,,,,,,,,,,,,,,,,
Dado Cavalcanti (TEC),,"7,95",4,"3,44","4,62","0,28",,,,,,,,,,,,,,,,,,
Willian (ATA),,"9,91",25,"3,43","1,20","-1,13",12,7,2,,23,17,6,,,,,,1,1,,21,8,44
Bruno Pacheco (LAT),,"7,98",24,"3,43","0,00","0,00",60,,2,8,29,3,,,,,,1,3,,,31,,182
Lima (MEI),,"8,05",24,"3,43","14,80","0,54",37,5,2,,36,5,5,,,,,,5,,,26,4,76
Benítez (MEI),,"8,89",18,"3,42","0,00","0,00",42,1,1,,40,12,8,,,,,,3,,,19,2,164
Samuel Xavier (LAT),,"7,02",23,"3,41","5,50","0,72",43,1,3,8,33,5,3,,,,,1,5,,,29,1,216
Glauber Ramos (TEC),,"5,38",9,"3,40","0,58","-0,05",,,,,,,,,,,,,,,,,,
Douglas Friedrich (GOL),,"9,33",20,"3,40","4,00","-0,12",,,,4,3,,,,27,,,,,,26,,,94
Michel Araújo (MEI),,"7,01",22,"3,39","3,50","-0,20",34,1,,,68,18,9,3,,,,,5,,,32,1,93
Tiago (ZAG),,"7,35",22,"3,38","7,00","0,27",41,1,,8,18,6,1,1,,,,,6,,,18,2,104
David Duarte (ZAG),,"4,81",20,"3,36","2,50","-0,14",39,1,,6,6,8,4,1,,,,1,1,,,16,,122
Pedro Henrique (ZAG),,"6,06",21,"3,34","5,50","0,77",34,,,8,15,4,1,,,,,,1,,,11,,84
Yago Pikachu (LAT),,"7,68",19,"3,34","1,70","-0,31",28,1,,6,29,6,4,1,,,,,4,,,17,3,119
Kannemann (ZAG),,"9,29",11,"3,34","0,90","-0,43",29,,,5,15,3,2,,,,,1,4,,,25,,41
Paulo Autuori (TEC),,"8,36",25,"3,29","1,25","-0,32",,,,,,,,,,,,,,,,,,
Gil (ZAG),,"6,93",20,"3,27","0,00","0,00",31,1,1,7,12,2,1,1,,,1,,2,,,16,1,80
Victor Ferraz (LAT),,"7,12",10,"3,24","2,30","-1,08",15,,2,3,4,2,2,,,,,,1,,,6,,86
Emerson Santos (ZAG),,"4,30",8,"3,22","0,00","0,00",11,,,5,5,,1,,,,,,2,,,11,,44
Abner Vinícius (LAT),,"8,86",25,"3,18","0,00","0,00",40,1,2,10,11,8,5,,,,,,3,,,33,1,232
Marcão (TEC),,"8,80",5,"3,18","3,99","0,13",,,,,,,,,,,,,,,,,,
Thiago Heleno (ZAG),,"6,50",22,"3,17","3,50","0,38",26,1,1,9,20,11,2,,,,1,1,3,,,17,,110
João Paulo (GOL),,"6,68",21,"3,17","-0,50","-1,48",,,,4,3,,,,30,,,,3,,27,1,,145
Gerson (MEI),,"9,23",24,"3,13","1,40","0,21",44,1,2,,85,14,8,,,,,,6,,,51,4,111
Jô (ATA),,"11,18",16,"3,12","8,60","1,12",,5,1,,19,6,8,1,,,,,,1,,14,8,70
Tiago Volpi (GOL),,"11,11",26,"3,12","-5,80","-1,52",1,,1,6,5,,,,26,3,,,1,,32,,,162
Cléber (ATA),,"10,24",28,"3,07","-0,60","-0,24",31,6,1,,29,20,13,1,,,,,1,,,64,10,85
Edenílson (MEI),,"8,65",26,"3,06","2,50","0,31",46,3,5,,30,12,7,1,,,,,6,,,38,3,188
Marcelo Alves (ZAG),,"2,95",7,"3,05","0,00","0,00",11,,,3,2,,,,,,,,,,,8,,16
Jonathan (LAT),,"5,42",18,"3,03","0,00","0,00",36,,,5,9,3,1,1,,,,,2,,,10,1,82
Nino Paraíba (LAT),,"9,02",22,"3,02","8,80","0,07",50,,3,3,22,6,5,,,,,,2,,,24,1,188
Raul Prata (LAT),,"4,84",9,"3,02","2,20","0,16",12,,,4,5,,1,,,,,,1,,,5,,40
Juninho (MEI),,"5,70",23,"3,01","9,70","1,12",46,3,3,,33,18,4,,,,,1,5,,,36,,187
Léo Ortiz (ZAG),,"8,34",29,"2,99","3,50","0,47",52,3,,5,12,7,2,1,,,1,,3,,,15,,130
Réver (ZAG),,"7,52",20,"2,98","1,90","0,23",27,1,1,6,15,5,1,,,,,,3,,,15,,93
Gabriel Dias (LAT),,"8,00",24,"2,97","7,80","1,02",18,1,1,9,22,6,4,,,,,1,1,,,18,3,80
Marquinhos (ATA),,"6,54",26,"2,97","0,00","0,00",39,3,1,,86,9,2,,,,,,7,,,34,,124
Luccas Claro (ZAG),,"6,46",22,"2,96","2,90","-0,03",32,2,,5,14,6,1,,,,,,,,,16,3,117
Zé Roberto (ATA),,"7,49",17,"2,96","16,10","2,79",9,3,2,,44,11,10,,,,,,3,,,36,7,79
Jair (MEI),,"7,95",20,"2,94","0,00","0,00",45,2,2,,43,7,1,,,,,,6,,,43,,71
Gustavo Mosquito (ATA),,"4,89",16,"2,94","10,40","0,70",10,3,1,,20,6,4,,,,,,,,,11,2,52
Wellington Paulista (ATA),,"8,42",25,"2,91","6,80","-0,25",6,7,1,,26,11,5,1,,,,,1,,,29,6,57
Jonathan (LAT),,"8,37",12,"2,89","0,00","-0,13",9,,1,6,6,,,,,,,,2,,,4,,64
Janderson (ATA),,"6,09",25,"2,89","4,90","-0,37",23,3,4,,25,15,8,,,,,,1,,,22,3,143
Leandro Castan (ZAG),,"12,21",21,"2,86","3,20","0,39",43,,,6,19,1,1,,,,,,2,,,24,,87
Zé Rafael (MEI),,"9,22",21,"2,85","1,40","-0,69",38,2,3,,43,12,5,,,,,2,5,,,38,,71
Shaylon (MEI),,"3,19",15,"2,81","-1,40","-0,57",21,1,2,,11,9,4,,,,,,,,,4,,122
Enderson Moreira (TEC),,"6,25",11,"2,80","5,87","0,78",,,,,,,,,,,,,,,,,,
Víctor Cuesta (ZAG),,"11,34",29,"2,77","8,40","0,69",45,1,,12,25,3,2,1,,,,,8,,,35,,192
Helinho (ATA),,"4,11",8,"2,75","5,30","0,32",15,,2,,6,1,2,1,,,,,2,,,11,,27
Bruno Nazário (MEI),,"6,80",21,"2,75","0,90","-0,28",31,1,2,,31,13,12,1,,,,,3,,,26,,157
Jair Ventura (TEC),,"6,86",25,"2,73","1,38","0,09",,,,,,,,,,,,,,,,,,
Gabriel Sara (MEI),,"4,60",25,"2,73","2,10","0,54",31,4,1,,28,24,8,,,,,,5,,,28,5,162
Luiz Otávio (ZAG),,"5,66",23,"2,73","5,70","0,85",45,1,,8,5,2,1,1,,,,1,7,,,27,,64
Aderlan (LAT),,"9,19",27,"2,71","4,40","0,47",79,,1,5,26,11,4,,,,,,3,,,54,3,278
Arboleda (ZAG),,"8,14",11,"2,71","0,00","0,00",11,1,,3,8,3,5,,,,,,3,,,14,,35
Richard (GOL),,"4,06",8,"2,66","3,80","0,10",,,,4,4,,,,6,,,,1,,7,,,87
Natanael (LAT),,"4,37",13,"2,64","4,30","0,72",21,,1,3,14,4,1,,,,,,1,,,9,2,106
Rodrigo Dourado (MEI),,"5,06",13,"2,64","1,00","-1,95",22,2,,,12,2,,1,,,,,2,,,14,,34
Wellington Rato (MEI),,"2,87",11,"2,64","1,70","-0,56",10,,2,,11,5,8,1,,,,,1,,,11,1,51
Everson (GOL),,"8,53",18,"2,64","1,00","0,44",1,,1,5,2,,,,17,,,,,,22,,,85
Wilson (GOL),,"7,54",30,"2,63","-3,30","-2,66",1,,,8,2,,,,34,1,,,,,41,,,246
Luan (ZAG),,"4,84",22,"2,63","-4,20","-2,02",34,,,9,13,4,,,,,1,,5,,,14,2,77
Weverton (GOL),,"8,44",23,"2,62","3,10","-1,09",1,,,9,1,,,,19,,,,,,21,,,200
Júnior Tavares (LAT),,"3,74",13,"2,60","0,00","0,00",16,,,4,21,5,2,,,,,1,,,,12,1,76
Jefferson (LAT),,"5,18",18,"2,59","0,00","0,25",33,1,,6,14,7,,,,,1,1,1,,,18,2,151
Patric (LAT),,"8,11",29,"2,59","1,20","0,93",42,1,5,5,35,15,5,1,,,1,1,2,,,36,8,270
Bruno Alves (ZAG),,"7,53",18,"2,58","0,20","-0,11",24,,,5,30,6,,,,,,,3,,,24,,44
Fernando Miguel (GOL),,"7,24",26,"2,56","-4,90","-0,66",,,,8,5,,,,26,2,,,,,37,,,198
Gabriel (MEI),,"5,41",18,"2,55","0,00","0,00",58,,1,,18,2,1,1,,,,,5,,,27,,84
Juanfran (LAT),,"5,91",14,"2,54","0,50","-0,30",23,,1,3,9,2,2,,,,,,2,,,9,,75
David (ATA),,"4,90",24,"2,54","2,40","-0,11",24,5,2,,25,16,6,,,,,,4,,,45,11,93
Peglow (MEI),,"3,32",10,"2,54","8,70","0,30",8,2,2,,1,2,1,,,,,,1,,,14,2,19
Fernandão (ATA),,"4,82",14,"2,52","1,10","0,20",9,3,,,17,11,5,,,,,,3,,,14,5,55
Santos (GOL),,"5,61",24,"2,51","-2,40","-0,66",1,,,8,1,,,,16,3,,,,,23,1,,199
Luan Peres (ZAG),,"7,14",23,"2,51","0,00","0,00",37,,1,5,22,4,1,,,,,1,2,,,8,,119
José Welison (MEI),,"4,40",12,"2,50","4,80","0,65",28,,1,,11,5,,,,,,,,,,16,,45
Yago Felipe (MEI),,"3,96",21,"2,45","-0,60","-0,83",44,2,,,29,7,4,,,,,,5,,,30,2,74
João Victor (ZAG),,"3,56",20,"2,44","2,30","0,67",37,,1,5,24,1,1,,,,,,7,,,22,,70
Ramiro (MEI),,"6,42",18,"2,43","3,90","0,22",47,1,1,,16,7,5,2,,,,,6,,,34,1,125
Thiago Neves (MEI),,"4,64",22,"2,42","0,50","0,20",9,4,2,,12,13,10,,,,,,3,,,10,,153
Rodinei (LAT),,"5,00",17,"2,37","3,30","0,20",32,,1,4,21,1,2,,,,,,3,,,23,,128
Léo Gil (MEI),,"5,39",12,"2,34","1,90","0,19",16,,3,,23,5,3,,,,,,3,,,14,,90
Caio Alexandre (MEI),,"5,10",26,"2,33","-4,40","-0,87",42,4,,,41,15,5,,,,,,7,,,45,3,141
Lucas Ribeiro (ZAG),,"3,19",6,"2,33","-0,80","-0,56",5,,,2,3,2,1,,,,,,1,,,4,,13
Wagner Leonardo (ZAG),,"2,39",10,"2,31","2,10","0,28",16,,,1,4,,2,,,,,,,,,1,,18
Diego (MEI),,"5,43",19,"2,29","1,40","-1,10",18,1,3,,44,5,2,,,,,,4,,,22,,67
Osvaldo (ATA),,"5,81",26,"2,24","0,70","-0,22",26,1,3,,21,14,7,1,,,,,2,,,13,4,118
Henrique (LAT),,"5,29",20,"2,24","0,00","0,00",46,,1,6,19,,2,,,,,1,6,,,36,3,115
Danilo Gomes (ATA),,"2,44",7,"2,23","8,50","1,41",10,1,,,5,3,,,,,,,1,,,3,4,18
Dudu (LAT),,"5,23",26,"2,22","5,10","0,81",58,,1,5,29,7,2,,,,1,1,3,,,27,3,217
Dalberto (ATA),,"3,50",8,"2,20","0,00","-1,08",3,1,,,8,6,6,2,,,,,,,,17,7,34
Fabinho (MEI),,"4,38",25,"2,18","2,40","-0,18",57,,,,15,7,3,,,,,,3,,,11,,76
Iago Maidana (ZAG),,"5,92",27,"2,17","-0,10","-0,41",38,3,,5,16,8,2,,,,,,6,,,31,,172
Ronaldo (MEI),,"3,65",15,"2,16","2,60","-0,13",42,,1,,14,5,1,,,,,,4,,,27,,52
Mayke (LAT),,"5,61",13,"2,08","0,00","0,00",28,,,3,10,2,,,,,,1,2,,,13,1,65
Felipe Alves (GOL),,"5,59",26,"2,08","11,70","2,68",2,,,9,5,,,,18,2,,,,,27,,,273
Ernando (ZAG),,"6,23",20,"2,07","5,60","0,90",15,1,1,3,4,4,6,,,,,,,,,16,,58
Lucca (ATA),,"4,28",9,"2,06","0,10","-0,25",10,1,,,14,1,2,,,,,,,,,10,2,37
Luiz Henrique (MEI),,"3,14",9,"2,06","11,10","1,68",12,1,,,3,1,1,,,,,,,,,6,,19
Juninho (ZAG),,"8,14",22,"2,05","5,70","1,01",33,1,,3,7,4,2,,,,,1,2,,,5,1,84
Hugo Moura (MEI),,"4,79",21,"2,05","11,50","0,76",39,1,2,,24,7,1,,,,,,4,,,36,,67
Hugo Souza (GOL),,"2,56",13,"2,01","3,20","-0,66",,,,4,1,,,,12,,,,,,17,,,84
Paulão (ZAG),,"3,92",24,"1,99","5,20","1,00",26,,,9,13,3,2,,,,,,4,,,31,3,97
Jackson (ZAG),,"4,54",16,"1,99","6,50","0,35",19,,,5,15,3,2,,,,,,5,,,18,,55
Marcelo Benevenuto (ZAG),,"6,30",24,"1,91","1,60","0,10",33,,1,4,16,11,2,,,,,,6,,,22,1,80
Eduardo Barroca (TEC),,"4,12",12,"1,87","1,92","0,09",,,,,,,,,,,,,,,,,,
Nikão (MEI),,"8,88",18,"1,87","0,00","0,00",13,1,2,,30,12,8,2,,,,,3,1,,24,8,115
Edimar (LAT),,"4,03",24,"1,87","0,70","0,09",42,1,,4,12,16,5,,,,,,5,,,35,1,220
Marcão Silva (MEI),,"4,78",19,"1,82","3,90","-0,04",43,1,,,15,8,,,,,,,5,,,36,,24
Gustavo Scarpa (MEI),,"5,47",16,"1,78","0,20","-0,11",9,,2,,15,11,7,1,,,,,2,,,9,,97
Breno (MEI),,"3,77",21,"1,69","0,00","0,00",60,,,,22,6,2,1,,,,1,6,,,45,,61
Marlon Freitas (MEI),,"5,19",22,"1,65","1,00","0,19",37,,1,,16,15,9,1,,,,1,4,,,27,,128
Vanderlei (GOL),,"6,57",21,"1,63","-2,90","0,02",,,,6,4,,,,14,,,,2,,18,,,140
Gustavo Henrique (ZAG),,"5,91",16,"1,58","7,20","0,69",15,1,,5,7,5,2,,,,1,1,4,,,20,,44
Matheus Henrique (MEI),,"5,81",22,"1,57","0,00","0,00",35,,1,,48,6,4,,,,,1,5,,,28,,102
Rafael Moura (ATA),,"5,19",20,"1,57","0,00","0,00",8,6,,,17,18,6,,,,,,7,,,40,17,122
Daniel Alves (MEI),,"10,34",20,"1,54","2,50","0,35",37,1,2,,36,18,5,,,,,,7,,,43,5,246
Jean Mota (MEI),,"3,16",21,"1,52","-3,60","-1,32",24,,1,,18,10,7,1,,,,,1,1,,23,,79
Bruno Méndez (ZAG),,"3,35",8,"1,51","8,10","1,30",9,,,4,1,,1,,,,,1,3,,,7,,41
Betinho (MEI),,"4,65",18,"1,51","3,60","0,15",42,,1,,20,6,,,,,,,4,,,36,,86
Ronald (MEI),,"2,55",20,"1,50","-0,10","-0,05",29,,1,,19,1,2,,,,,,2,,,19,,34
Léo Matos (LAT),,"4,64",11,"1,50","-2,30","-0,18",11,1,1,3,6,4,5,,,,,,6,,,22,1,112
Cássio (GOL),,"8,37",20,"1,44","8,30","0,92",1,,,6,1,,,,18,,,1,1,,26,1,,152
Igor Gomes (MEI),,"3,57",26,"1,29","0,20","-0,80",17,1,2,,29,6,9,,,,,,2,,,29,4,113
Luan Polli (GOL),,"3,75",23,"1,27","-3,80","-0,36",,,,6,2,,,,23,,,,3,,31,1,,253
Willian Arão (MEI),,"6,98",25,"1,24","0,80","-0,52",48,,,,12,9,2,,,,,,4,,,31,,89
Adryelson (ZAG),,"3,32",28,"1,23","-0,20","-0,12",31,,,6,19,8,2,1,,,1,,6,,,39,2,102
Matheus Bueno (MEI),,"2,26",21,"1,20","0,90","0,16",27,,,,16,3,3,,,,,,1,,,16,,57
Éder (ZAG),,"3,83",25,"1,17","2,50","0,04",23,,,6,11,3,2,,,,,,4,,,33,1,88
Kevin (LAT),,"2,90",23,"1,14","1,00","0,73",54,,1,2,19,1,3,,,,1,,3,,,29,4,293
Breno Lopes (ATA),,"3,19",8,"1,11","0,30","-0,61",4,,,,4,1,1,2,,,,,,,,4,2,21
Lucas Lima (MEI),,"4,68",22,"1,10","3,30","0,95",34,,1,,28,5,5,1,,,,,6,,,27,3,149
Fabrício Bruno (ZAG),,"1,03",10,"1,10","-0,70","-0,27",18,1,,,4,1,,,,,,1,2,,,11,,33
Praxedes (MEI),,"1,37",15,"1,03","2,60","0,33",23,1,,,13,6,1,,,,,,3,,,27,1,80
Sandry (MEI),,"1,78",12,"1,03","0,70","-0,20",28,,,,9,,,,,,,,4,,,17,,37
Nathan Silva (MEI),,"2,37",13,"1,00","2,00","0,39",24,1,1,,11,7,,,,,,,7,,,32,,49
Esteves (LAT),,"2,34",4,"1,00","0,00","0,00",5,,,1,2,,,,,,,,1,,,6,,20
Willian Maranhão (MEI),,"2,56",15,"0,97","0,00","0,00",31,,,,10,5,2,,,,,1,3,,,25,1,38
Marcos Felipe (GOL),,"0,78",10,"0,91","-6,20","-1,19",,,1,2,1,,,,7,,,,,,13,,,84
Henrique Vermudt (MEI),,"1,89",5,"0,90","2,30","0,37",6,,,,1,1,,,,,,,,,,2,,18
Marcelo Lomba (GOL),,"7,63",30,"0,88","-3,30","0,06",1,,,12,3,,,,15,,,,3,,28,,,342
Luan (MEI),,"3,35",18,"0,81","1,10","0,16",32,,,,10,2,2,,,,,,5,,,24,,46
Bruno Gomes (MEI),,"2,32",14,"0,81","0,00","0,00",26,,,,29,2,1,,,,,2,3,,,21,,54
Martinelli (MEI),,"0,78",5,"0,74","-1,00","-0,21",10,,,,3,1,1,,,,,,2,,,7,,23
Ariel Cabral (MEI),,"4,09",13,"0,66","1,00","0,59",27,,,,8,2,2,,,,,,4,,,21,,79
Gregore (MEI),,"5,09",21,"0,63","0,00","-0,20",53,,2,,15,8,4,,,,,1,9,,,68,,115
Nathan Ribeiro (ZAG),,"2,26",3,"0,53","-0,40","-0,45",1,,,1,,,,,,,,,1,,,3,,9
Heron (ZAG),,"0,88",17,"0,52","0,30","-0,47",16,,,2,10,1,,,,,,,4,,,17,,64
Christian (MEI),,"0,94",23,"0,30","0,90","-0,39",18,1,,,27,4,4,1,,,,,6,,,40,2,105
Mariano Vázquez (MEI),,"1,04",13,"0,12","-0,10","-0,18",4,,,,11,3,,,,,,,1,,,11,2,18
Fernando Canesin (MEI),,"0,99",10,"-0,29","0,00","0,00",5,,,,3,1,1,,,,,,3,,,6,,24
Cleiton (GOL),,"0,78",24,"-0,46","-2,80","-0,08",1,,,4,3,,,,10,,,,,,28,,,175
