Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Thiago Galhardo (MEI),,"19,64",25,"7,46","0,00","0,00",21,16,5,,40,23,16,,,,,1,3,1,,23,15,114
Keno (ATA),,"14,18",23,"7,11","0,00","0,00",35,10,5,,39,28,24,4,,,,,4,1,,29,21,220
Pepê (ATA),,"14,19",22,"6,54","2,30","0,18",30,8,4,,48,14,8,1,,,,,1,,,9,3,100
Vina (MEI),,"10,42",20,"6,35","2,40","0,25",11,8,6,,16,27,23,1,,,,,3,1,,16,4,181
Arrascaeta (MEI),,"19,05",16,"6,35","16,30","2,14",24,5,4,,19,13,11,2,,,,,,,,11,,157
Claudinho (ATA),,"16,27",24,"5,66","17,20","2,76",40,9,2,,35,23,20,,,,,,3,1,,22,4,229
Juan Ramírez (ATA),,"4,33",4,"5,55","6,50","0,04",2,2,1,,10,4,1,,,,,,1,,,11,,27
Gabriel (ATA),,"11,82",14,"5,47","2,90","0,86",4,7,,,14,19,12,1,,,,1,2,,,4,9,74
Raul (MEI),,"11,02",19,"5,46","16,90","2,30",78,2,2,,49,5,1,,,,,,1,,,32,1,114
Brenner (ATA),,"6,26",19,"5,44","-1,00","-3,60",11,8,1,,30,14,13,1,,,,,4,,,15,5,33
Bruno Henrique (ATA),,"12,45",20,"5,34","1,40","-0,76",26,6,4,,52,18,12,3,,,,,8,1,,32,6,119
Alisson (MEI),,"10,54",15,"5,29","1,60","-0,31",19,1,4,,41,19,14,1,,,,,1,,,14,4,123
Cano (ATA),,"13,16",22,"5,24","4,00","0,58",10,11,,,17,12,14,1,,,,,,,,19,11,53
Patrick (MEI),,"12,38",24,"5,22","4,60","-0,14",61,4,2,,53,12,7,3,,,,,1,,,32,2,121
Viña (LAT),,"9,81",17,"5,16","0,00","0,00",55,,2,7,21,7,2,,,,,,3,,,22,2,126
Guilherme Arana (LAT),,"17,61",24,"5,16","0,00","0,00",39,3,4,9,22,17,15,,,,,,3,,,30,1,256
Reinaldo (LAT),,"13,73",21,"4,96","3,40","-0,52",39,4,4,6,20,7,10,,,,,,3,,,24,,264
Abel Ferreira (TEC),,"12,89",8,"4,87","0,00","0,00",,,,,,,,,,,,,,,,,,
Pereira (ZAG),,"5,10",4,"4,83","6,20","0,69",6,,,3,3,,,,,,,,1,,,1,,7
Daniel (GOL),,"2,40",1,"4,80","4,80","0,40",,,,1,,,,,,,,,,,,,,2
Guga (LAT),,"13,88",21,"4,77","0,00","0,00",50,1,1,9,25,6,2,1,,,,,1,,,24,,166
Bruninho (ATA),,"4,23",5,"4,72","0,00","0,00",6,2,,,4,2,2,,,,,,,,,6,2,4
Tadeu (GOL),,"8,92",21,"4,61","0,10","-2,09",1,,,7,8,,1,,33,1,,,,,31,1,,210
Everton Ribeiro (MEI),,"9,55",22,"4,58","7,20","0,37",33,6,2,,46,15,8,1,,,,,4,,,23,1,177
Glauber Ramos (TEC),,"5,65",6,"4,58","2,15","-0,54",,,,,,,,,,,,,,,,,,
Jean (GOL),,"11,64",25,"4,54","16,50","2,92",1,2,,7,8,1,1,,32,1,,,1,,28,1,,211
Fernando Sobral (MEI),,"13,07",25,"4,51","6,60","0,19",85,1,3,,41,17,10,1,,,,,2,,,43,6,157
Jorge Sampaoli (TEC),,"14,73",24,"4,49","0,00","0,00",,,,,,,,,,,,,,,,,,
Paulo Victor (GOL),,"6,36",6,"4,33","0,00","0,00",,,1,3,,,,,5,,,,,,5,,,40
Vinícius (ATA),,"5,94",17,"4,24","8,00","1,28",19,3,3,,32,9,12,,,,,,2,,,26,2,54
Alan Empereur (ZAG),,"7,14",4,"4,18","0,00","0,00",5,,,3,2,,,,,,,,1,,,3,,8
Hyoran (MEI),,"13,42",17,"4,18","0,00","0,00",18,4,2,,22,10,10,2,,,,,2,,,23,2,94
Robson (ATA),,"9,96",26,"4,14","7,40","1,06",27,7,1,,47,27,12,4,,,,,5,,,45,14,120
Carlos Eduardo (ATA),,"6,69",20,"4,08","5,70","-1,87",17,5,3,,27,8,4,,,,,,,,,17,2,55
Raul Prata (LAT),,"5,33",6,"4,08","5,30","1,13",8,,,4,2,,1,,,,,,1,,,3,,22
Pinares (MEI),,"6,64",4,"4,03","0,60","-0,81",1,1,1,,4,2,1,,,,,,,,,2,,17
Léo Cittadini (MEI),,"13,62",23,"3,98","10,70","1,31",54,4,,,37,18,10,,,,,,4,,,44,2,85
Rodrigo Moledo (ZAG),,"7,54",17,"3,96","6,60","0,08",25,1,,8,25,1,1,,,,,1,3,,,12,,30
David Braz (ZAG),,"9,51",17,"3,96","0,00","0,00",35,2,,5,6,5,2,1,,,,1,1,,,13,,76
Léo Chú (ATA),,"2,94",11,"3,96","0,80","0,24",20,1,4,,10,7,2,,,,,,2,,,9,7,54
Patrick de Paula (MEI),,"6,20",18,"3,94","0,00","0,00",40,2,1,,21,12,8,1,,,,,1,,,23,,93
Pedro Raul (ATA),,"7,74",19,"3,93","7,80","0,98",8,5,1,,24,21,18,,,,,,1,,,30,4,97
Renato Gaúcho (TEC),,"12,50",26,"3,92","4,02","0,26",,,,,,,,,,,,,,,,,,
Vargas (ATA),,"9,00",4,"3,90","0,00","0,00",2,1,1,,4,4,2,,,,,,1,,,1,5,20
Filipe Luís (LAT),,"6,54",19,"3,90","1,40","-0,92",60,2,2,4,22,1,2,1,,,1,,5,,,32,1,174
Moisés (LAT),,"11,24",17,"3,88","9,20","0,40",42,,2,8,7,5,1,1,,,,,1,,,37,2,161
Sabino (ZAG),,"8,69",26,"3,84","5,80","0,47",50,4,,6,26,5,,1,,,1,,2,1,,10,2,132
Werley (ZAG),,"4,14",3,"3,83","5,00","0,69",3,,,2,2,1,,,,,,,,,,4,,13
Victor Luis (LAT),,"9,49",19,"3,81","2,20","0,11",52,2,1,3,19,4,6,,,,,1,1,1,,18,,153
Vinícius Balieiro (MEI),,"4,76",4,"3,80","0,00","0,00",11,,1,,6,,,,,,,,,,,6,,8
Diogo Barbosa (LAT),,"9,71",18,"3,78","11,60","0,68",39,,3,4,15,6,1,,,,,,1,,,11,1,113
Júnior Tavares (LAT),,"6,14",11,"3,76","7,20","1,20",16,,,4,20,5,2,,,,,,,,,9,,65
Fernando Diniz (TEC),,"9,41",23,"3,74","2,47","-0,18",,,,,,,,,,,,,,,,,,
Guto Ferreira (TEC),,"8,85",27,"3,68","0,80","-0,37",,,,,,,,,,,,,,,,,,
Tiago Volpi (GOL),,"12,78",23,"3,63","3,30","0,77",1,,1,6,4,,,,23,3,,,1,,25,,,152
Juninho Capixaba (LAT),,"7,61",15,"3,60","0,00","0,00",38,,2,3,20,5,3,,,,,,2,,,16,1,141
Bruno Pacheco (LAT),,"7,88",22,"3,59","-0,70","-0,50",58,,2,7,27,3,,,,,,1,2,,,29,,166
Cuca (TEC),,"11,13",27,"3,58","0,00","0,00",,,,,,,,,,,,,,,,,,
Rogério Ceni (TEC),,"8,02",25,"3,53","3,65","-0,10",,,,,,,,,,,,,,,,,,
Júnior Alonso (ZAG),,"11,48",19,"3,53","0,00","0,00",36,,2,8,2,11,4,1,,,,,5,,,29,,122
