Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Madson (LAT),,"5,76",19,"3,51","0,00","0,00",13,4,4,2,13,1,4,1,,,,,2,,,10,3,129
Fábio Sanches (ZAG),,"7,43",18,"3,51","9,20","0,65",31,1,,7,15,3,1,,,,1,,3,,,14,,40
Jonathan (LAT),,"9,38",10,"3,49","5,80","0,20",9,,1,6,4,,,,,,,,2,,,4,,52
Isla (LAT),,"8,91",18,"3,49","3,50","0,00",38,1,5,4,12,1,,,,,,,4,,,23,6,125
Ytalo (ATA),,"7,47",20,"3,48","10,10","0,62",16,2,4,,13,12,11,1,,,,,,,,17,5,36
Cléber (ATA),,"10,57",25,"3,44","0,20","0,19",31,6,1,,25,19,11,1,,,,,1,,,57,9,72
Abel Braga (TEC),,"11,05",8,"3,44","6,76","0,51",,,,,,,,,,,,,,,,,,
Marcelo Cabo (TEC),,"9,08",7,"3,42","5,41","0,74",,,,,,,,,,,,,,,,,,
Maurício Barbieri (TEC),,"8,28",20,"3,41","7,01","0,78",,,,,,,,,,,,,,,,,,
Churín (ATA),,"8,77",9,"3,40","-0,10","-1,51",7,2,1,,12,4,,1,,,,,,,,12,2,26
Paulo Autuori (TEC),,"9,11",22,"3,39","6,53","-0,18",,,,,,,,,,,,,,,,,,
Talles Magno (ATA),,"9,48",21,"3,39","0,60","-0,70",29,2,2,,51,13,5,2,,,,1,3,,,19,4,90
David Duarte (ZAG),,"4,36",17,"3,38","0,60","-0,75",27,1,,6,4,7,4,1,,,,1,1,,,13,,96
Vanderlei Luxemburgo (TEC),,"10,23",15,"3,38","5,28","-0,41",,,,,,,,,,,,,,,,,,
Gerson (MEI),,"9,50",22,"3,34","2,20","-0,23",43,1,2,,81,11,7,,,,,,5,,,47,4,100
Réver (ZAG),,"8,54",17,"3,32","0,00","0,00",23,1,1,6,14,5,1,,,,,,3,,,15,,81
Everson (GOL),,"10,74",15,"3,32","0,00","0,00",1,,1,5,2,,,,15,,,,,,18,,,63
Shaylon (MEI),,"3,49",12,"3,31","0,60","-1,21",19,1,2,,8,8,3,,,,,,,,,4,,92
Savarino (ATA),,"5,79",19,"3,28","0,00","0,00",7,3,4,,20,18,5,3,,,,,2,,,15,7,131
Douglas Friedrich (GOL),,"8,02",18,"3,25","-4,10","-3,86",,,,3,3,,,,25,,,,,,25,,,79
Abner Vinícius (LAT),,"9,63",23,"3,24","4,70","-0,86",37,1,2,9,11,8,5,,,,,,3,,,30,1,218
Caio (ATA),,"4,69",5,"3,22","13,10","2,97",6,1,,,20,1,2,,,,,,2,,,9,,26
Pedro Henrique (ZAG),,"5,72",18,"3,20","4,70","0,02",27,,,7,11,3,1,,,,,,1,,,10,,66
Arboleda (ZAG),,"8,53",9,"3,17","0,00","0,00",9,1,,3,5,2,4,,,,,,2,,,11,,28
Natan (ZAG),,"4,23",11,"3,17","0,70","-0,55",18,1,1,2,4,3,1,1,,,,,3,,,10,,37
Thiago Heleno (ZAG),,"6,89",19,"3,13","7,10","0,12",20,1,1,8,18,10,2,,,,1,1,3,,,16,,90
Rafael Thyere (ZAG),,"4,06",4,"3,10","5,00","1,15",1,,,3,,,,,,,,,1,,,1,,11
Neilton (ATA),,"5,62",16,"3,07","0,30","-0,53",24,1,2,,24,6,5,1,,,,,1,,,19,1,68
Cayo Tenório (LAT),,"3,86",8,"3,06","0,00","0,00",8,,1,3,14,2,1,,,,,,3,,,8,,33
Marquinhos (ATA),,"7,37",24,"3,05","6,50","0,70",35,3,1,,82,9,2,,,,,,7,,,31,,120
João Paulo (GOL),,"5,56",19,"3,03","0,00","0,00",,,,3,2,,,,27,,,,2,,25,1,,120
Patric (LAT),,"8,87",26,"3,03","4,60","0,41",41,1,5,5,31,14,3,1,,,,1,2,,,35,6,236
Jair Ventura (TEC),,"7,57",22,"3,02","5,51","0,76",,,,,,,,,,,,,,,,,,
Jefferson (LAT),,"5,01",15,"3,01","-1,50","-1,79",28,1,,6,13,5,,,,,1,1,1,,,13,2,119
Jonathan (LAT),,"4,61",17,"2,91","0,60","-0,55",36,,,4,9,3,1,1,,,,,2,,,10,1,82
Leandro Castan (ZAG),,"13,09",18,"2,90","8,80","1,17",38,,,5,18,1,1,,,,,,2,,,21,,74
Rodrigo Caio (ZAG),,"8,14",14,"2,89","1,80","-0,60",22,,,4,9,4,2,,,,,,1,,,13,,32
Yago Pikachu (LAT),,"8,50",16,"2,88","9,10","1,42",22,,,5,24,5,4,1,,,,,3,,,16,3,93
Fernando Miguel (GOL),,"9,36",23,"2,87","8,30","0,50",,,,7,4,,,,24,2,,,,,32,,,169
Gabriel Sara (MEI),,"4,32",22,"2,83","0,70","-0,30",27,4,1,,26,19,7,,,,,,5,,,25,4,140
Romarinho (ATA),,"8,03",23,"2,80","0,60","-0,53",18,2,,,51,13,8,1,,,,,2,,,11,2,77
Tiago (ZAG),,"6,32",19,"2,79","3,00","0,19",33,1,,6,16,4,1,,,,,,6,,,16,2,93
Léo Gil (MEI),,"5,39",9,"2,73","1,70","0,02",12,,3,,19,4,3,,,,,,3,,,12,,67
Bruno Nazário (MEI),,"7,18",18,"2,73","4,00","0,30",24,1,2,,27,12,11,1,,,,,3,,,24,,142
Gabriel Dias (LAT),,"6,87",21,"2,70","1,90","-0,66",14,1,1,7,19,4,4,,,,,1,1,,,16,2,69
Thiago Neves (MEI),,"5,84",20,"2,68","7,80","1,06",9,4,2,,10,11,9,,,,,,2,,,9,,137
Wellington Paulista (ATA),,"7,20",22,"2,65","0,20","-0,02",6,5,1,,21,9,4,1,,,,,,,,23,5,43
Charles (MEI),,"6,34",23,"2,62","0,10","-0,42",59,2,1,,17,8,5,,,,,,5,,,43,,93
Chico (ATA),,"4,28",24,"2,59","-1,00","-0,42",23,1,3,,42,12,13,2,,,,,2,,,31,1,159
Carlinhos (LAT),,"5,93",17,"2,58","0,10","-0,64",25,,,7,18,2,,,,,,,2,,,24,1,103
Santos (GOL),,"7,66",21,"2,53","11,60","1,45",1,,,7,1,,,,14,3,,,,,21,1,,179
Victor Ferraz (LAT),,"6,81",8,"2,50","0,00","0,00",7,,2,2,2,2,2,,,,,,1,,,6,,70
Enderson Moreira (TEC),,"5,73",8,"2,50","0,00","0,00",,,,,,,,,,,,,,,,,,
Dado Cavalcanti (TEC),,"7,01",2,"2,50","1,07","-0,60",,,,,,,,,,,,,,,,,,
Natanael (LAT),,"4,75",10,"2,47","8,00","1,19",14,,,3,10,4,1,,,,,,1,,,8,2,68
Osvaldo (ATA),,"5,98",23,"2,42","1,50","0,13",23,1,3,,18,13,6,1,,,,,2,,,9,2,107
Felipe (MEI),,"5,03",22,"2,42","0,30","-0,67",61,1,,,40,7,2,,,,,1,6,,,35,,91
Wilson (GOL),,"7,77",27,"2,40","-0,50","-0,76",1,,,6,2,,,,31,1,,,,,38,,,224
Víctor Cuesta (ZAG),,"10,12",26,"2,40","2,00","-0,15",43,,,11,25,2,2,,,,,,8,,,35,,183
José Welison (MEI),,"4,10",9,"2,40","3,80","0,70",18,,1,,8,4,,,,,,,,,,12,,26
Nino Paraíba (LAT),,"7,53",20,"2,39","1,30","-0,03",45,,2,2,16,2,4,,,,,,2,,,20,1,172
Diego (ZAG),,"2,94",15,"2,35","-0,80","-0,86",27,,,4,14,4,3,,,,,,2,,,30,,65
Kanu (ZAG),,"5,01",24,"2,34","-0,20","-0,33",38,,1,4,25,4,2,,,,,,4,,,20,,68
Luiz Otávio (ZAG),,"4,74",20,"2,33","1,70","-0,71",38,1,,6,4,2,1,1,,,,1,7,,,25,,58
Wagner Leonardo (ZAG),,"2,11",9,"2,33","0,00","0,00",15,,,1,4,,1,,,,,,,,,1,,17
Ligger (ZAG),,"3,97",20,"2,31","-0,20","-0,11",28,,1,5,11,5,1,,,,,,2,,,27,,51
Dudu (LAT),,"3,49",23,"2,30","0,00","0,00",56,,,5,26,6,2,,,,1,1,3,,,25,2,189
Vitor Bueno (MEI),,"7,00",20,"2,25","0,80","0,01",13,2,1,,22,9,8,,,,,,2,,,7,3,78
Fabinho (MEI),,"4,37",22,"2,23","2,70","-0,08",52,,,,13,6,3,,,,,,3,,,10,,67
Franco (MEI),,"5,22",18,"2,19","0,00","0,00",22,3,,,14,5,4,,,,,,1,,,27,1,63
Weverton (GOL),,"8,98",21,"2,19","0,00","0,00",1,,,8,1,,,,15,,,,,,19,,,172
Zé Roberto (ATA),,"4,12",14,"2,18","-2,60","-1,17",6,2,1,,39,9,8,,,,,,3,,,33,7,67
Alex (ZAG),,"2,79",8,"2,16","0,00","0,00",10,,,2,6,,1,,,,,,1,,,5,,24
Daniel (MEI),,"4,40",19,"2,15","1,00","0,11",9,3,2,,28,5,4,1,,,,1,3,,,17,,83
Wellington Rato (MEI),,"2,69",8,"2,12","3,40","-0,70",6,,1,,5,2,5,1,,,,,,,,6,1,36
Henrique (LAT),,"6,86",18,"2,07","5,60","-0,17",41,,,5,18,,2,,,,,,6,,,32,3,105
Ricardo Ryller (MEI),,"4,40",21,"2,06","2,30","-0,51",53,1,1,,24,14,3,,,,,,8,,,53,,71
Gilvan (ZAG),,"4,59",15,"2,00","0,00","0,00",20,1,,4,9,3,1,,,,,,6,,,24,,21
Gustavo Ferrareis (MEI),,"7,23",23,"1,98","-2,20","-1,82",20,3,1,,40,15,3,,,,,,5,,,30,7,106
Ernando (ZAG),,"5,78",18,"1,96","2,90","0,15",15,1,1,2,4,4,4,,,,,,,,,14,,55
Cícero (MEI),,"4,62",6,"1,95","1,20","-0,41",3,,1,,6,2,,,,,,,,,,,,9
Rafael Moura (ATA),,"6,44",18,"1,91","6,00","1,18",8,6,,,16,15,6,,,,,,6,,,36,16,108
Eduardo Barroca (TEC),,"3,95",9,"1,91","1,20","-0,15",,,,,,,,,,,,,,,,,,
Breno (MEI),,"4,15",19,"1,91","1,10","-0,04",56,,,,22,5,2,1,,,,1,4,,,43,,56
Juninho (MEI),,"3,31",9,"1,91","3,90","0,17",12,,1,,7,2,2,,,,,,1,,,5,,29
Gustavo Scarpa (MEI),,"5,58",15,"1,89","0,00","0,00",9,,2,,14,11,7,1,,,,,2,,,9,,94
Rodrigo Dourado (MEI),,"4,66",10,"1,87","0,30","-2,00",14,1,,,9,1,,1,,,,,2,,,11,,22
Paulão (ZAG),,"3,07",21,"1,86","0,60","-0,93",22,,,7,9,3,2,,,,,,3,,,23,3,82
Marcão Silva (MEI),,"4,18",16,"1,83","0,20","-0,61",36,1,,,14,5,,,,,,,4,,,31,,21
Rhodolfo (ZAG),,"3,59",11,"1,82","-3,30","-1,00",17,,,2,4,2,,1,,,,,2,,,6,2,57
Lucas Silva (MEI),,"5,21",23,"1,80","1,60","-0,01",27,1,,,30,8,6,1,,,,,4,,,18,,79
Rodinei (LAT),,"4,88",14,"1,79","4,50","0,79",25,,,3,18,1,2,,,,,,3,,,21,,106
Dalberto (ATA),,"2,80",5,"1,72","-1,50","-0,26",1,1,,,2,3,4,1,,,,,,,,14,6,16
Luan Polli (GOL),,"5,12",20,"1,71","3,90","1,10",,,,6,2,,,,21,,,,3,,26,,,229
Kalou (ATA),,"7,10",18,"1,68","3,00","0,10",12,1,1,,16,10,4,,,,,,,,,14,3,72
Felipe Alves (GOL),,"3,15",23,"1,67","-2,30","-1,67",2,,,7,4,,,,16,1,,,,,23,,,255
Fabrício Bruno (ZAG),,"2,79",7,"1,67","10,70","1,47",14,1,,,2,1,,,,,,1,1,,,6,,21
Ronald (MEI),,"2,88",17,"1,66","2,10","0,57",28,,1,,18,,2,,,,,,2,,,19,,28
Matheus Henrique (MEI),,"6,06",21,"1,64","0,90","-0,08",35,,1,,46,6,4,,,,,1,5,,,27,,97
Edimar (LAT),,"3,75",21,"1,62","0,20","0,02",35,,,4,12,14,3,,,,,,4,,,28,1,193
Daniel Alves (MEI),,"10,20",17,"1,62","0,80","-0,63",32,1,2,,30,16,4,,,,,,7,,,39,2,205
Jean Mota (MEI),,"3,80",18,"1,60","0,00","0,00",18,,1,,17,8,6,1,,,,,1,,,21,,67
Rodrigues (ZAG),,"2,52",13,"1,60","3,20","0,54",9,,,4,5,4,1,,,,,,3,,,5,2,57
Richard (MEI),,"2,82",19,"1,54","3,10","-1,42",37,,1,,20,4,1,,,,,,4,,,26,,63
Cuello (MEI),,"2,77",11,"1,49","5,70","0,82",13,,,,5,6,7,1,,,,,2,,,14,,43
Jobson (MEI),,"3,40",17,"1,41","0,00","0,00",39,1,1,,15,3,1,,,,,,6,,,32,2,101
Allan (MEI),,"5,87",20,"1,41","0,00","0,00",38,,,,16,11,2,1,,,,,3,,,28,,120
Adryelson (ZAG),,"4,56",25,"1,39","7,50","1,31",29,,,6,18,7,2,1,,,1,,6,,,35,1,91
Hugo Souza (GOL),,"1,85",11,"1,38","0,00","-1,36",,,,2,1,,,,11,,,,,,17,,,53
Maílton (LAT),,"2,80",11,"1,35","1,00","0,50",12,,,2,12,3,2,,,,,,2,,,9,3,80
Matheus Bueno (MEI),,"2,53",19,"1,30","0,00","0,00",26,,,,16,3,3,,,,,,1,,,16,,53
Kevin (LAT),,"2,62",20,"1,25","-1,00","-0,45",43,,1,2,19,1,3,,,,1,,2,,,22,1,267
Hugo Moura (MEI),,"3,21",18,"1,24","4,10","0,39",36,,,,22,5,1,,,,,,4,,,33,,53
Eduardo (LAT),,"2,86",9,"1,22","0,00","0,00",10,1,,1,5,,1,1,,,,1,1,,,10,1,62
Igor Gomes (MEI),,"3,39",23,"1,11","-0,10","0,08",14,1,1,,24,6,8,,,,,,2,,,27,2,97
Arthur Gomes (ATA),,"3,29",15,"1,07","0,00","0,00",12,1,,,13,3,8,,,,,1,1,,,17,1,65
Willian Arão (MEI),,"6,79",22,"1,06","0,00","-0,34",41,,,,9,8,2,,,,,,4,,,30,,80
Éder (ZAG),,"4,14",22,"1,01","5,30","1,53",16,,,6,11,2,1,,,,,,4,,,30,,87
Rafael Forster (ZAG),,"2,91",17,"0,99","0,00","0,00",17,,,3,15,6,1,,,,,1,2,,,18,2,95
Laércio (ZAG),,"2,70",7,"0,94","0,00","0,00",11,,,,2,2,,,,,,,,,,10,,20
Ariel Cabral (MEI),,"4,17",10,"0,92","0,20","-0,22",23,,,,7,,2,,,,,,3,,,16,,57
Richard (GOL),,"2,48",5,"0,90","-4,30","-1,46",,,,2,3,,,,2,,,,,,5,,,50
Luan (MEI),,"2,80",15,"0,90","0,00","0,00",29,,,,7,1,2,,,,,,5,,,19,,28
Nathan Silva (MEI),,"2,99",10,"0,82","6,70","1,43",14,1,1,,9,6,,,,,,,6,,,25,,35
Sandry (MEI),,"1,47",9,"0,74","0,00","0,00",21,,,,6,,,,,,,,4,,,13,,29
Bruno Gomes (MEI),,"3,15",12,"0,67","4,00","0,87",20,,,,25,2,1,,,,,2,2,,,18,,42
Gregore (MEI),,"4,58",19,"0,63","0,00","0,00",49,,2,,13,7,4,,,,,1,9,,,61,,105
Diego Cavalieri (GOL),,"4,31",16,"0,57","-3,00","-1,13",1,,,1,1,,,,15,1,,,2,,25,1,,99
Heron (ZAG),,"1,00",14,"0,53","1,30","-0,79",11,,,2,5,1,,,,,,,3,,,12,,48
João Paulo (MEI),,"5,19",4,"0,30","1,70","0,17",2,,,,3,2,,,,,,,,,,4,,19
Gabriel Novaes (ATA),,"2,10",5,"0,20","-0,60","-0,26",2,,,,3,,1,,,,,,,,,6,,7
Weverton (LAT),,"0,92",6,"0,13","0,00","-0,07",2,,,,,1,,,,,,,,,,1,,15
Christian (MEI),,"0,78",20,"0,10","-0,70","0,00",16,1,,,21,2,3,1,,,,,6,,,36,2,96
Thiago Andrade (ATA),,"0,78",1,"0,00","0,00","-0,22",1,,,,2,1,,,,,,,1,,,1,,3
Gustavo Morínigo (TEC),,"6,81",0,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,
Praxedes (MEI),,"0,78",12,"-0,01","1,20","0,00",15,,,,8,4,,,,,,,3,,,18,1,68
Ramon (MEI),,"0,78",6,"-0,27","-2,90","-0,31",4,,,,4,,1,,,,,,2,,,6,,18
Cleiton (GOL),,"0,78",21,"-0,45","-4,50","0,00",,,,4,3,,,,8,,,,,,24,,,150
