Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI
Douglas Friedrich (GOL),,"9,45",19,"3,37","0,00","0,00",,,,3,3,,,,27,,,,,,26,,,84
João Paulo (GOL),,"8,16",20,"3,35","0,00","0,00",,,,4,3,,,,29,,,,3,,25,1,,140
Ytalo (ATA),,"6,49",22,"3,35","2,80","0,40",18,2,4,,15,13,12,1,,,,,,,,18,5,39
Victor Ferraz (LAT),,"8,20",9,"3,34","0,00","0,00",12,,2,3,4,2,2,,,,,,1,,,6,,79
Samuel Xavier (LAT),,"6,30",22,"3,32","0,80","0,18",42,1,3,7,32,5,3,,,,,1,5,,,28,1,211
Pedro Henrique (ZAG),,"5,29",20,"3,23","0,60","-0,75",30,,,8,12,3,1,,,,,,1,,,11,,76
Tiago (ZAG),,"7,08",21,"3,21","5,50","-0,25",39,1,,7,17,6,1,1,,,,,6,,,18,2,99
Cléber (ATA),,"10,48",27,"3,21","-0,50","-0,04",31,6,1,,28,20,12,1,,,,,1,,,60,10,82
Gerson (MEI),,"9,02",23,"3,20","0,00","0,00",44,1,2,,82,14,7,,,,,,6,,,49,4,108
Marcelo Cabo (TEC),,"8,75",9,"3,20","2,23","0,15",,,,,,,,,,,,,,,,,,
Andrey (MEI),,"7,31",19,"3,19","0,00","0,00",62,1,2,,31,4,6,,,,,1,6,,,41,,77
Matheus Ferraz (ZAG),,"5,97",8,"3,18","6,50","1,25",9,,1,3,4,4,1,,,,,,2,,,8,,20
Tinga (LAT),,"5,68",16,"3,18","-2,80","-1,62",27,,2,6,9,4,3,1,,,,,2,,,12,1,198
Jonathan (LAT),,"8,50",11,"3,15","-0,20","-0,88",9,,1,6,5,,,,,,,,2,,,4,,59
Thiago Heleno (ZAG),,"6,12",21,"3,15","0,80","-0,65",22,1,1,9,20,11,2,,,,1,1,3,,,17,,105
Rodrigo Caio (ZAG),,"9,08",16,"3,15","6,30","0,73",26,,,5,11,5,2,,,,,,1,,,14,,36
Matheus Bahia (LAT),,"2,39",7,"3,13","0,00","0,00",20,,1,,9,1,3,,,,,,1,,,11,,45
Raul Prata (LAT),,"4,68",8,"3,12","0,90","0,30",10,,,4,4,,1,,,,,,1,,,5,,37
Shaylon (MEI),,"3,76",14,"3,11","1,70","0,04",21,1,2,,11,9,4,,,,,,,,,4,,108
Matheus Babi (ATA),,"7,27",25,"3,10","-2,00","-0,02",27,6,1,,59,10,8,2,,,,,6,,,58,10,96
Caio (ATA),,"3,67",7,"3,09","3,20","0,39",6,1,,,29,1,2,1,,,,,2,,,12,,31
Edenílson (MEI),,"8,34",25,"3,08","-0,20","-1,16",43,3,5,,30,12,7,1,,,,,6,,,38,3,183
Dado Cavalcanti (TEC),,"7,67",3,"3,05","0,00","0,00",,,,,,,,,,,,,,,,,,
Réver (ZAG),,"7,29",19,"3,04","-0,20","-0,15",25,1,1,6,15,5,1,,,,,,3,,,15,,92
Kelvyn (LAT),,"1,80",11,"3,04","0,00","-2,05",3,2,,3,4,2,,,,,,,,,,5,,17
Gabriel Menino (MEI),,"5,40",21,"3,01","0,00","0,00",49,,5,,42,15,5,,,,,,8,,,30,4,168
Romarinho (ATA),,"9,37",25,"3,01","7,50","0,98",20,3,,,53,13,9,1,,,,,2,,,12,2,85
Marcão (TEC),,"8,67",4,"2,98","3,38","0,02",,,,,,,,,,,,,,,,,,
Léo Ortiz (ZAG),,"7,87",28,"2,97","-0,10","-0,12",48,3,,5,12,7,2,1,,,1,,3,,,15,,125
Luccas Claro (ZAG),,"6,49",21,"2,96","2,70","-0,76",30,2,,5,13,5,1,,,,,,,,,16,3,113
Luan (ZAG),,"6,86",21,"2,96","0,00","0,00",31,,,9,11,4,,,,,,,4,,,13,2,70
Lucas Ribeiro (ZAG),,"3,75",5,"2,96","2,30","-0,28",5,,,2,3,2,1,,,,,,1,,,3,,10
Lima (MEI),,"7,51",23,"2,94","12,70","2,38",36,4,1,,34,4,5,,,,,,5,,,25,4,71
Natanael (LAT),,"3,84",14,"2,91","10,10","0,99",28,,,5,12,2,1,,,,,1,,,,20,1,55
Marcos Rocha (LAT),,"8,11",16,"2,90","0,00","0,00",39,,,5,13,1,,,,,,,2,,,16,,131
Neto Borges (LAT),,"4,49",16,"2,90","1,70","-0,39",33,,1,4,14,2,3,,,,,,3,,,17,1,89
Fernando Miguel (GOL),,"7,90",25,"2,86","-2,30","-1,43",,,,8,5,,,,25,2,,,,,33,,,189
Bruno Nazário (MEI),,"7,08",20,"2,84","2,00","-0,36",29,1,2,,30,13,12,1,,,,,3,,,24,,151
Leandro Castan (ZAG),,"11,82",20,"2,84","-0,40","-0,59",39,,,6,19,1,1,,,,,,2,,,23,,84
Wilson (GOL),,"10,20",29,"2,83","12,50","1,69",1,,,8,2,,,,33,1,,,,,38,,,233
Janderson (ATA),,"6,46",24,"2,81","7,30","0,95",22,3,3,,24,14,8,,,,,,1,,,20,2,134
Jair Ventura (TEC),,"6,77",24,"2,79","0,12","0,05",,,,,,,,,,,,,,,,,,
Rodrigo Dourado (MEI),,"7,01",12,"2,78","13,20","2,23",20,2,,,12,2,,1,,,,,2,,,13,,29
Nino Paraíba (LAT),,"8,95",21,"2,75","0,00","0,00",49,,3,2,18,4,4,,,,,,2,,,22,1,178
Wellington Paulista (ATA),,"8,67",24,"2,75","8,50","1,78",6,6,1,,26,10,5,1,,,,,1,,,26,5,57
Everson (GOL),,"8,09",17,"2,74","-2,80","-0,29",1,,1,5,2,,,,16,,,,,,21,,,75
Jefferson (LAT),,"4,93",17,"2,74","-2,30","-0,86",32,1,,6,14,6,,,,,1,1,1,,,16,2,143
Wellington Rato (MEI),,"3,43",10,"2,73","5,50","0,38",10,,2,,8,4,7,1,,,,,1,,,9,1,43
Santos (GOL),,"6,27",23,"2,72","0,80","-1,03",1,,,8,1,,,,16,3,,,,,22,1,,195
Bruno Alves (ZAG),,"7,64",17,"2,72","0,00","-0,13",23,,,5,26,5,,,,,,,2,,,21,,43
Juninho (MEI),,"4,58",22,"2,71","3,30","0,98",43,2,3,,32,18,4,,,,,1,5,,,34,,179
Juanfran (LAT),,"6,21",13,"2,70","1,80","-0,06",22,,1,3,7,2,2,,,,,,2,,,8,,65
Patric (LAT),,"7,18",28,"2,64","-5,70","-0,99",41,1,5,5,35,15,4,1,,,1,1,2,,,36,8,260
Aderlan (LAT),,"8,72",26,"2,64","0,90","-0,73",74,,1,5,25,11,4,,,,,,3,,,54,3,267
Fernandão (ATA),,"4,62",13,"2,63","-0,70","-0,47",7,3,,,17,11,5,,,,,,3,,,13,5,51
